,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,NE,NYG,BUF,LAC,CAR,IND,TEN,WSH,CHI,ARI,MIA,DAL,BAL,MIN,NYJ,NO,PIT
1,NE,ARI,NYG,TEN,DAL,MIN,HOU,PHI,CHI,LAC,CAR,PIT,BAL,IND,NYJ,NO,CIN
2,NE,ARI,NYG,LAC,CAR,IND,HOU,BAL,CHI,NYJ,MIA,DAL,TEN,MIN,PHI,NO,CIN
3,NE,ARI,LAC,TEN,NYG,MIN,HOU,WSH,CHI,NYJ,MIA,PIT,BAL,IND,CAR,NO,GB
4,NE,NYG,LAC,TEN,DAL,IND,HOU,NYJ,CHI,ARI,MIA,TB,BAL,DEN,CAR,NO,GB
5,NE,ARI,LAC,TEN,NYG,IND,HOU,WSH,CHI,NYJ,CAR,PIT,BAL,MIN,PHI,NO,GB
6,NE,ARI,NYG,LAC,CAR,MIN,HOU,BAL,CHI,NYJ,MIA,DAL,TEN,IND,PHI,NO,GB
7,NE,NYG,BUF,TEN,DAL,IND,HOU,PHI,CHI,LAC,CAR,TB,BAL,ARI,NYJ,NO,PIT
8,NE,NYG,SEA,LAC,DAL,MIN,HOU,NYJ,CHI,ARI,IND,PIT,BAL,TEN,PHI,NO,ATL
9,PHI,NYG,SEA,TEN,CAR,MIN,NE,WSH,CHI,NYJ,MIA,TB,DAL,DEN,LAC,NO,CIN
10,PHI,NE,NYG,LAC,CAR,MIN,HOU,NYJ,CHI,ARI,MIA,DAL,BAL,TEN,IND,NO,ATL
11,NE,ARI,SEA,LAC,CAR,MIN,TEN,HOU,CHI,NYJ,IND,DAL,BAL,DEN,PHI,NO,PIT
12,NE,ARI,BUF,LAC,NYG,MIN,TEN,WSH,CHI,NYJ,CAR,PIT,BAL,DEN,IND,NO,ATL
13,PHI,NYG,BUF,TEN,CAR,NO,HOU,WSH,CHI,ARI,IND,DAL,BAL,LAC,NYJ,NE,CIN
14,PHI,ARI,BUF,TEN,DAL,MIN,NYG,HOU,CHI,NYJ,IND,TB,BAL,DEN,LAC,NO,CIN
15,PHI,NE,SEA,LAC,DAL,MIN,HOU,WSH,CHI,ARI,IND,PIT,TEN,DEN,CAR,NO,BAL
16,PHI,ARI,NYG,TEN,CAR,IND,HOU,BAL,CHI,NYJ,MIA,PIT,DAL,DEN,NE,NO,LAC
17,PHI,NE,LAC,TEN,DAL,MIN,NYG,NYJ,CHI,ARI,CAR,TB,BAL,DEN,IND,NO,CIN
18,PHI,NE,SEA,LAC,DAL,MIN,NYG,HOU,CHI,NYJ,IND,PIT,BAL,TEN,CAR,NO,GB
19,NE,ARI,SEA,TEN,DAL,IND,NYG,WSH,CHI,LAC,MIA,PIT,BAL,DEN,CAR,NO,ATL
20,NE,NYG,SEA,TEN,DAL,MIN,HOU,WSH,CHI,NYJ,IND,PIT,BAL,LAC,CAR,NO,ATL
21,NE,ARI,SEA,TEN,DAL,MIN,HOU,PHI,CHI,LAC,NYG,PIT,BAL,IND,CAR,NO,GB
22,NE,NYG,BUF,LAC,DAL,IND,HOU,WSH,CHI,NYJ,CAR,TB,BAL,DEN,PHI,NO,ATL
23,NE,NYG,BUF,TEN,CAR,IND,HOU,WSH,CHI,ARI,MIA,PIT,DAL,MIN,LAC,NO,BAL
24,NE,NYG,LAC,TEN,DAL,MIN,HOU,NYJ,CHI,ARI,MIA,TB,BAL,DEN,PHI,NO,ATL
25,PHI,NYG,SEA,TEN,CAR,MIN,NE,WSH,CHI,LAC,MIA,PIT,BAL,DEN,IND,NO,ATL
26,NE,ARI,BUF,TEN,NYG,MIN,HOU,NYJ,CHI,LAC,MIA,TB,BAL,IND,CAR,NO,GB
27,PHI,ARI,BUF,TEN,NYG,MIN,NE,WSH,CHI,NYJ,MIA,TB,BAL,DEN,LAC,NO,GB
28,PHI,ARI,SEA,LAC,DAL,MIN,NYG,WSH,CHI,NE,IND,PIT,BAL,TEN,NYJ,NO,GB
29,NE,NYG,LAC,TEN,DAL,MIN,HOU,NYJ,CHI,ARI,IND,PIT,BAL,DEN,CAR,NO,ATL
30,NE,ARI,SEA,TEN,CAR,MIN,HOU,WSH,CHI,LAC,IND,DAL,BAL,DEN,PHI,NO,PIT
31,NE,NYG,BUF,TEN,CAR,MIN,HOU,PHI,CHI,LAC,IND,TB,DAL,DEN,NYJ,NO,GB
32,NE,NYG,SEA,TEN,DAL,MIN,HOU,WSH,CHI,NYJ,MIA,TB,BAL,DEN,PHI,NO,CIN
33,NE,NYG,SEA,TEN,DAL,MIN,HOU,NYJ,CHI,LAC,IND,TB,BAL,ARI,CAR,NO,CIN
34,PHI,NYG,SEA,TEN,NE,IND,HOU,BAL,CHI,ARI,CAR,PIT,DAL,LAC,NYJ,NO,GB
35,PHI,NYG,LAC,TEN,NE,IND,HOU,NYJ,CHI,ARI,MIA,TB,DAL,DEN,CAR,NO,BAL
36,PHI,ARI,LAC,TEN,CAR,MIN,HOU,WSH,CHI,NE,MIA,TB,BAL,IND,NYJ,NO,PIT
37,NE,NYG,SEA,LAC,DAL,IND,TEN,NYJ,CHI,ARI,CAR,TB,BAL,MIN,PHI,NO,PIT
38,NE,NYG,SEA,TEN,CAR,IND,HOU,BAL,CHI,NYJ,MIA,PIT,DAL,MIN,PHI,NO,CIN
39,PHI,NE,BUF,LAC,CAR,MIN,NYG,BAL,CHI,NYJ,MIA,DAL,TEN,ARI,IND,NO,PIT
40,PHI,ARI,SEA,TEN,DAL,MIN,NE,NYJ,CHI,LAC,MIA,TB,BAL,DEN,CAR,NO,PIT
41,NE,ARI,SEA,LAC,DAL,MIN,NYG,WSH,CHI,NYJ,MIA,TB,TEN,BAL,IND,NO,ATL
42,PHI,NE,BUF,TEN,NYG,MIN,HOU,WSH,CHI,NYJ,IND,PIT,BAL,LAC,CAR,NO,GB
43,NE,ARI,NYG,TEN,DAL,IND,HOU,PHI,CHI,LAC,MIA,PIT,BAL,DEN,NYJ,NO,CIN
44,PHI,NYG,BUF,TEN,CAR,IND,HOU,WSH,CHI,NE,MIA,PIT,BAL,MIN,NYJ,NO,GB
45,NE,NYG,SEA,LAC,DAL,IND,HOU,WSH,CHI,ARI,CAR,PIT,TEN,BAL,NYJ,NO,GB
46,NE,ARI,SEA,TEN,DAL,IND,HOU,WSH,CHI,LAC,CAR,PIT,BAL,MIN,NYJ,NO,CIN
47,PHI,NE,NYG,LAC,CAR,MIN,TEN,BAL,CHI,ARI,MIA,TB,DAL,IND,NYJ,NO,GB
48,PHI,NYG,BUF,LAC,DAL,MIN,NE,HOU,CHI,ARI,MIA,TB,BAL,IND,NYJ,NO,PIT
49,PHI,NE,BUF,TEN,NYG,MIN,HOU,WSH,CHI,LAC,IND,PIT,BAL,ARI,NYJ,NO,GB
50,PHI,NYG,SEA,TEN,NE,IND,HOU,WSH,CHI,ARI,CAR,TB,BAL,DEN,NYJ,NO,GB
51,NE,ARI,SEA,TEN,DAL,IND,HOU,PHI,CHI,LAC,NYG,PIT,BAL,DEN,NYJ,NO,ATL
52,NE,NYG,SEA,TEN,DAL,MIN,HOU,NYJ,CHI,ARI,MIA,TB,BAL,LAC,CAR,NO,ATL
53,NE,ARI,LAC,TEN,DAL,IND,HOU,WSH,CHI,NYJ,NYG,TB,BAL,DEN,PHI,NO,GB
54,PHI,ARI,LAC,TEN,DAL,IND,NYG,HOU,CHI,NYJ,CAR,TB,BAL,DEN,NE,NO,PIT
55,NE,NYG,SEA,TEN,CAR,IND,HOU,BAL,CHI,ARI,MIA,TB,DAL,DEN,PHI,NO,ATL
56,NE,ARI,NYG,LAC,DAL,IND,HOU,WSH,CHI,NYJ,CAR,PIT,BAL,TEN,PHI,NO,CIN
57,NE,ARI,SEA,LAC,NYG,MIN,HOU,WSH,CHI,NYJ,CAR,TB,TEN,BAL,PHI,NO,PIT
58,PHI,ARI,LAC,TEN,NYG,MIN,HOU,BAL,CHI,NYJ,CAR,PIT,DAL,DEN,IND,NO,GB
59,PHI,ARI,BUF,LAC,CAR,IND,TEN,HOU,CHI,NYJ,NYG,DAL,BAL,DEN,NE,NO,ATL
60,NE,ARI,LAC,TEN,CAR,MIN,NYG,WSH,CHI,NYJ,IND,PIT,DAL,DEN,PHI,NO,BAL
61,PHI,NE,NYG,LAC,DAL,MIN,HOU,NYJ,CHI,ARI,MIA,PIT,TEN,DEN,IND,NO,ATL
