,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,IND,GB,NO,DEN,LAR,KC,ATL,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,TEN
1,IND,ATL,SEA,DEN,LAR,KC,GB,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,PIT
2,IND,ATL,SEA,DEN,LAR,CHI,GB,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,TEN
3,IND,GB,NO,DEN,LAR,CHI,ATL,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,PIT
4,IND,GB,SEA,DEN,LAR,KC,ATL,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,TEN
5,IND,ATL,NO,DEN,LAR,CHI,GB,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,PIT
6,IND,GB,SEA,DEN,LAR,KC,ATL,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,PIT
7,IND,GB,SEA,DEN,LAR,CHI,ATL,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,PIT
8,IND,GB,NO,DEN,LAR,CHI,ATL,SF,DAL,NYG,CIN,BAL,CAR,NE,SEA,LAC,PIT
10,IND,GB,NO,DEN,LAR,KC,ATL,CIN,DAL,NYG,SEA,BAL,SF,NE,CAR,LAC,PIT
11,IND,GB,NO,DEN,LAR,CHI,ATL,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,TEN
12,IND,GB,NO,DEN,LAR,CHI,ATL,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,PIT
13,IND,GB,SEA,DEN,LAR,CHI,ATL,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,TEN
14,IND,ATL,SEA,DEN,LAR,KC,GB,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,TEN
15,IND,GB,SEA,DEN,LAR,CHI,ATL,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,PIT
16,IND,GB,NO,DEN,LAR,KC,ATL,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,PIT
17,IND,ATL,NO,DEN,LAR,CHI,GB,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,TEN
19,IND,ATL,SEA,DEN,LAR,KC,GB,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,TEN
21,IND,GB,SEA,DEN,LAR,KC,ATL,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,PIT
23,IND,GB,SEA,DEN,LAR,KC,ATL,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,TEN
25,IND,GB,NO,DEN,LAR,CHI,ATL,SF,DAL,NYG,CIN,BAL,CAR,NE,SEA,LAC,TEN
