,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,LAC,DEN,BAL,IND,TEN,JAX,SEA,NE,PIT,GB,PHI,DAL,MIN,BUF,TB,ARI,CLE
1,SEA,BAL,PHI,IND,HOU,GB,NE,NYG,PIT,BUF,DAL,LAC,MIN,JAX,TB,TEN,ARI
2,IND,BAL,NE,DAL,HOU,GB,SEA,TEN,PIT,BUF,PHI,TB,MIN,CIN,NO,LAC,CLE
3,LAC,BAL,NE,DAL,IND,JAX,NO,TEN,PIT,SEA,PHI,TB,MIN,CIN,GB,ARI,CLE
4,LAC,JAX,PHI,IND,TEN,BAL,NYG,NE,PIT,GB,DAL,TB,MIN,SEA,NO,ARI,CLE
5,LAC,DEN,PHI,DAL,HOU,BAL,NE,TEN,PIT,GB,IND,TB,MIN,JAX,NO,ARI,CLE
6,SEA,DEN,NE,DAL,TEN,BAL,NO,IND,PIT,GB,PHI,TB,MIN,JAX,LAC,ARI,CLE
7,SEA,DEN,PHI,DAL,HOU,BAL,NYG,IND,PIT,GB,NE,JAX,MIN,CIN,TB,TEN,ARI
8,SEA,JAX,BAL,DAL,NE,LAC,NO,NYG,PIT,BUF,PHI,TB,IND,GB,MIN,ARI,CLE
9,SEA,BAL,NE,IND,HOU,JAX,NO,TEN,PIT,GB,DAL,TB,MIN,CIN,LAC,ARI,CLE
10,SEA,DEN,PHI,DAL,NE,BAL,NYG,IND,PIT,BUF,GB,JAX,MIN,CIN,LAC,ARI,CLE
11,SEA,DEN,NE,IND,HOU,LAC,DAL,NYG,PIT,BUF,GB,JAX,MIN,CIN,TB,ARI,PHI
12,LAC,BAL,PHI,IND,TEN,JAX,SEA,NYG,PIT,GB,NE,TB,MIN,DAL,NO,ARI,CLE
13,SEA,BAL,PHI,IND,NE,LAC,NO,TEN,PIT,BUF,DAL,JAX,MIN,CIN,TB,ARI,GB
14,LAC,BAL,PHI,IND,NE,GB,SEA,TEN,PIT,BUF,DAL,TB,MIN,CIN,NO,ARI,CLE
15,IND,DEN,BAL,DAL,HOU,JAX,NO,NYG,PIT,GB,MIN,LAC,NE,SEA,TB,ARI,CLE
16,LAC,DEN,NE,IND,HOU,GB,DAL,TEN,PIT,BUF,PHI,TB,MIN,CIN,NO,SEA,ARI
17,SEA,DEN,NE,DAL,TEN,BAL,NO,IND,PIT,GB,PHI,LAC,MIN,JAX,TB,ARI,CLE
18,IND,DEN,BAL,DAL,HOU,LAC,NO,NE,PIT,SEA,PHI,TB,MIN,JAX,GB,TEN,ARI
19,LAC,BAL,NE,IND,HOU,JAX,DAL,NYG,PIT,SEA,PHI,TB,MIN,CIN,NO,TEN,CLE
20,LAC,BAL,NE,DAL,HOU,JAX,SEA,NYG,PIT,GB,IND,TB,MIN,CIN,NO,ARI,CLE
21,LAC,JAX,PHI,DAL,TEN,BAL,NE,NYG,PIT,GB,IND,TB,MIN,CIN,NO,SEA,ARI
22,IND,DEN,NE,DAL,HOU,LAC,NYG,TEN,PIT,BUF,GB,JAX,MIN,SEA,TB,ARI,CLE
23,SEA,JAX,BAL,IND,TEN,GB,NYG,LAC,PIT,BUF,DAL,TB,NE,CIN,MIN,ARI,PHI
24,SEA,DEN,NE,IND,TEN,GB,NO,NYG,PIT,BUF,PHI,DAL,MIN,JAX,TB,LAC,CLE
25,LAC,JAX,PHI,IND,HOU,BAL,SEA,NYG,PIT,GB,MIN,TB,NE,BUF,NO,DAL,CLE
26,LAC,JAX,NE,DAL,HOU,GB,NYG,IND,PIT,SEA,PHI,TB,MIN,CIN,NO,ARI,CLE
27,IND,DEN,NE,DAL,TEN,BAL,SEA,NYG,PIT,GB,PHI,LAC,MIN,JAX,TB,ARI,CLE
28,LAC,JAX,PHI,IND,TEN,GB,SEA,NYG,PIT,BUF,MIN,DAL,NE,CIN,TB,ARI,CLE
29,SEA,BAL,NE,IND,HOU,JAX,NYG,TEN,PIT,GB,DAL,TB,MIN,BUF,LAC,ARI,CLE
30,SEA,BAL,PHI,IND,TEN,GB,NO,LAC,PIT,BUF,MIN,JAX,NE,DAL,TB,ARI,CLE
31,LAC,DEN,PHI,IND,HOU,GB,NO,TEN,PIT,SEA,DAL,NE,MIN,JAX,TB,ARI,CLE
32,IND,BAL,NE,DAL,HOU,JAX,SEA,LAC,PIT,BUF,PHI,TB,MIN,CIN,GB,TEN,ARI
33,LAC,DEN,PHI,IND,TEN,GB,NO,NYG,PIT,SEA,DAL,TB,NE,JAX,MIN,ARI,CLE
34,SEA,BAL,PHI,DAL,HOU,JAX,NYG,LAC,PIT,BUF,NE,IND,MIN,CIN,TB,TEN,CLE
35,IND,BAL,NE,DAL,HOU,GB,NYG,LAC,PIT,BUF,PHI,JAX,MIN,SEA,NO,ARI,CLE
36,IND,JAX,PHI,DAL,TEN,LAC,NE,NYG,PIT,BUF,GB,TB,MIN,SEA,NO,ARI,CLE
37,IND,JAX,NE,DAL,HOU,BAL,SEA,NYG,PIT,BUF,GB,TB,MIN,CIN,NO,TEN,PHI
38,SEA,DEN,PHI,DAL,IND,BAL,NYG,LAC,PIT,BUF,NE,JAX,MIN,CIN,GB,TEN,CLE
39,LAC,BAL,NE,DAL,HOU,GB,SEA,TEN,PIT,BUF,IND,JAX,MIN,CIN,TB,ARI,PHI
40,LAC,DEN,NE,DAL,HOU,BAL,SEA,IND,PIT,BUF,PHI,TB,MIN,JAX,GB,ARI,CLE
41,SEA,DEN,BAL,IND,TEN,JAX,DAL,NE,PIT,GB,PHI,LAC,MIN,CIN,TB,ARI,CLE
42,IND,DEN,BAL,DAL,TEN,GB,NO,NE,PIT,BUF,PHI,TB,MIN,CIN,LAC,ARI,CLE
43,IND,JAX,BAL,DAL,HOU,GB,NE,NYG,PIT,BUF,PHI,TB,MIN,SEA,LAC,ARI,CLE
44,LAC,JAX,BAL,IND,HOU,GB,NE,TEN,PIT,SEA,DAL,TB,MIN,BUF,NO,ARI,PHI
45,IND,BAL,PHI,DAL,TEN,GB,NO,NYG,PIT,BUF,NE,LAC,MIN,CIN,TB,SEA,CLE
46,IND,DEN,NE,DAL,HOU,LAC,SEA,NYG,PIT,BUF,PHI,TB,MIN,GB,NO,JAX,ARI
47,IND,DEN,PHI,DAL,TEN,BAL,NYG,LAC,PIT,GB,NE,JAX,MIN,BUF,NO,ARI,CLE
48,IND,DEN,BAL,DAL,HOU,JAX,NO,NE,PIT,BUF,PHI,LAC,MIN,GB,TB,ARI,CLE
49,LAC,JAX,NE,DAL,HOU,GB,NYG,TEN,PIT,SEA,MIN,TB,IND,CIN,NO,ARI,PHI
50,IND,DEN,PHI,DAL,NE,LAC,NYG,TEN,PIT,SEA,GB,TB,MIN,JAX,NO,ARI,CLE
