,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,PHI,NE,BUF,LAC,NYG,MIN,HOU,NYJ,CHI,ARI,IND,TB,BAL,DEN,CAR,NO,GB
1,PHI,ARI,SEA,LAC,CAR,MIN,NYG,WSH,CHI,NYJ,MIA,TB,TEN,DEN,IND,NE,CIN
2,PHI,NE,SEA,LAC,DAL,MIN,TEN,NYJ,CHI,ARI,IND,TB,BAL,DEN,CAR,NO,PIT
3,NE,NYG,BUF,TEN,CAR,MIN,HOU,WSH,CHI,LAC,MIA,DAL,BAL,DEN,PHI,NO,ATL
4,PHI,ARI,BUF,LAC,DAL,IND,NE,BAL,CHI,NYJ,MIA,PIT,TEN,MIN,CAR,NO,ATL
5,PHI,NE,SEA,TEN,CAR,IND,HOU,BAL,CHI,LAC,NYG,PIT,DAL,ARI,NYJ,NO,GB
6,PHI,NYG,LAC,TEN,NE,MIN,HOU,WSH,CHI,NYJ,MIA,DAL,BAL,IND,CAR,NO,PIT
7,PHI,NYG,BUF,LAC,NE,MIN,HOU,BAL,CHI,ARI,CAR,TB,DAL,IND,NYJ,NO,ATL
8,NE,ARI,BUF,TEN,NYG,MIN,HOU,NYJ,CHI,LAC,MIA,PIT,DAL,BAL,PHI,NO,ATL
9,PHI,NE,SEA,TEN,CAR,IND,NYG,HOU,CHI,LAC,MIA,DAL,BAL,MIN,NYJ,NO,CIN
10,PHI,ARI,SEA,TEN,NE,MIN,NYG,HOU,CHI,NYJ,IND,TB,DAL,BAL,LAC,NO,CIN
11,NE,NYG,BUF,LAC,DAL,MIN,HOU,WSH,CHI,ARI,IND,PIT,TEN,DEN,NYJ,NO,GB
12,PHI,NYG,SEA,LAC,CAR,NO,TEN,HOU,CHI,NYJ,MIA,TB,DAL,DEN,IND,NE,CIN
13,PHI,ARI,NYG,LAC,DAL,MIN,HOU,NYJ,CHI,NE,IND,PIT,TEN,DEN,CAR,NO,BAL
14,NE,ARI,LAC,TEN,DAL,IND,HOU,WSH,CHI,NYJ,MIA,TB,BAL,DEN,CAR,NO,GB
15,PHI,ARI,NYG,TEN,DAL,IND,NE,NYJ,CHI,LAC,MIA,PIT,BAL,MIN,CAR,NO,ATL
16,PHI,ARI,NYG,LAC,DAL,IND,HOU,WSH,CHI,NE,MIA,PIT,TEN,DEN,CAR,NO,CIN
17,NE,NYG,SEA,LAC,DAL,IND,HOU,BAL,CHI,NYJ,CAR,PIT,TEN,DEN,PHI,NO,ATL
18,PHI,NYG,BUF,TEN,CAR,IND,HOU,WSH,CHI,NYJ,MIA,DAL,BAL,ARI,LAC,NE,ATL
19,NE,ARI,NYG,LAC,CAR,MIN,TEN,BAL,CHI,NYJ,IND,TB,DAL,DEN,PHI,NO,PIT
20,PHI,ARI,LAC,TEN,NYG,MIN,NE,HOU,CHI,NYJ,MIA,DAL,BAL,DEN,IND,NO,PIT
21,PHI,NE,BUF,TEN,NYG,IND,HOU,NYJ,CHI,ARI,MIA,DAL,BAL,DEN,LAC,NO,CIN
22,NE,ARI,NYG,LAC,DAL,MIN,HOU,BAL,CHI,NYJ,CAR,PIT,TEN,DEN,IND,NO,GB
23,NE,ARI,SEA,LAC,CAR,IND,NYG,HOU,CHI,NYJ,MIA,DAL,BAL,TEN,PHI,NO,GB
