,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,BAL,SF,DAL,HOU,NE,ATL,CHI,GB,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,NYG
1,CHI,LAC,DAL,ATL,SF,BAL,NE,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,NYG
2,CHI,SF,DAL,BAL,NYG,ATL,GB,NE,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
3,CHI,LAC,DAL,HOU,NYG,ATL,GB,NE,BAL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,SF
4,DET,LAC,CHI,ATL,SF,BAL,GB,PIT,HOU,NE,DAL,CIN,DEN,SEA,MIA,CAR,TEN
5,CHI,GB,DAL,ATL,SF,BAL,NYG,NE,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
6,DET,SF,DAL,HOU,NE,BAL,NYG,CHI,GB,PIT,ATL,DEN,BUF,SEA,MIA,CAR,TEN
7,DET,SF,DAL,HOU,NYG,BAL,GB,NE,ATL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
8,DET,LAC,DAL,BAL,SF,ATL,GB,CHI,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
9,DET,LAC,DAL,HOU,SF,BAL,GB,NE,ATL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
10,DET,SF,DAL,BAL,NYG,ATL,CHI,GB,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,PIT
11,BAL,SF,CHI,HOU,NYG,ATL,GB,NE,LAC,PIT,DEN,CIN,DAL,SEA,MIA,CAR,TEN
12,DET,NYG,DAL,BAL,SF,ATL,NE,CHI,LAC,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
13,DET,SF,CHI,HOU,NE,BAL,NYG,GB,LAC,PIT,DEN,CIN,DAL,SEA,MIA,ATL,TEN
14,CHI,GB,DAL,HOU,NYG,ATL,NE,PIT,LAC,BAL,DEN,CIN,BUF,SF,MIA,CAR,SEA
15,DET,NYG,DAL,ATL,SF,MIA,CHI,PIT,LAC,BAL,NE,DEN,GB,SEA,HOU,CAR,TEN
16,CHI,NYG,DAL,BAL,SF,ATL,NE,GB,LAC,PIT,HOU,DEN,BUF,SEA,MIA,CAR,TEN
17,DET,LAC,CHI,ATL,NE,BAL,NYG,GB,HOU,PIT,DAL,DEN,BUF,SF,MIA,CAR,TEN
18,CHI,SF,DAL,ATL,NYG,BAL,NE,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
19,DET,NYG,CHI,HOU,SF,ATL,NE,GB,LAC,PIT,DEN,CIN,DAL,SEA,MIA,CAR,TEN
20,BAL,GB,DAL,HOU,SF,ATL,CHI,NE,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,NYG
21,CHI,NYG,DAL,ATL,SF,BAL,GB,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,LAC
22,DET,GB,CHI,ATL,SF,BAL,NYG,NE,HOU,PIT,DAL,DEN,BUF,SEA,MIA,CAR,LAC
23,DET,NYG,CHI,BAL,SF,MIA,NE,GB,ATL,PIT,DEN,CIN,BUF,SEA,HOU,CAR,LAC
24,DET,NYG,DAL,BAL,SF,ATL,GB,NE,LAC,PIT,HOU,DEN,BUF,SEA,MIA,CAR,TEN
25,CHI,LAC,DAL,BAL,NYG,ATL,NE,GB,HOU,PIT,DEN,CIN,BUF,SF,MIA,CAR,SEA
26,DET,LAC,CHI,HOU,SF,BAL,NE,GB,ATL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,NYG
27,CHI,GB,DAL,ATL,SF,BAL,NYG,NE,LAC,PIT,HOU,CIN,BUF,DEN,MIA,CAR,TEN
28,DET,GB,DAL,HOU,NE,ATL,NYG,PIT,LAC,BAL,DEN,CIN,BUF,SEA,MIA,CAR,SF
29,BAL,SF,DAL,HOU,NYG,ATL,GB,PIT,LAC,NE,DEN,CHI,BUF,SEA,MIA,CAR,TEN
30,DET,GB,CHI,HOU,NE,ATL,NYG,PIT,LAC,BAL,DAL,DEN,BUF,SF,MIA,CAR,TEN
31,DET,GB,DAL,ATL,NYG,BAL,NE,CHI,LAC,PIT,DEN,CIN,BUF,SF,HOU,CAR,SEA
32,DET,SF,DAL,BAL,NYG,ATL,CHI,PIT,HOU,NE,DEN,CIN,GB,SEA,MIA,CAR,LAC
33,DET,SF,DAL,ATL,NE,BAL,GB,CHI,LAC,PIT,DEN,CIN,BUF,SEA,HOU,CAR,NYG
34,DET,LAC,DAL,HOU,NYG,ATL,GB,CHI,BAL,PIT,NE,DEN,BUF,SF,MIA,CAR,SEA
35,DET,GB,DAL,HOU,NYG,BAL,NE,CHI,ATL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
36,DET,NYG,DAL,BAL,NE,ATL,GB,CHI,HOU,PIT,DEN,CIN,BUF,SF,MIA,CAR,TEN
37,DET,SF,CHI,HOU,NYG,ATL,NE,PIT,LAC,BAL,DEN,CIN,DAL,GB,MIA,CAR,SEA
38,CHI,SF,DAL,HOU,NE,BAL,NYG,GB,LAC,PIT,ATL,CIN,BUF,SEA,MIA,DEN,TEN
39,BAL,GB,CHI,HOU,SF,ATL,NYG,NE,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
41,CHI,LAC,DAL,HOU,NE,BAL,NYG,GB,ATL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,SF
42,DET,GB,DAL,HOU,SF,ATL,NYG,PIT,LAC,BAL,DEN,CIN,BUF,SEA,MIA,CAR,NE
43,DET,SF,DAL,HOU,NYG,ATL,CHI,PIT,GB,BAL,NE,DEN,BUF,SEA,MIA,CAR,TEN
44,CHI,NYG,DAL,BAL,SF,ATL,NE,GB,LAC,PIT,HOU,CIN,DEN,SEA,MIA,CAR,TEN
45,BAL,LAC,DAL,HOU,SF,ATL,NYG,CHI,GB,PIT,DEN,NE,BUF,SEA,MIA,CAR,TEN
46,DET,LAC,CHI,HOU,NYG,BAL,GB,PIT,ATL,NE,DEN,CIN,DAL,SF,MIA,CAR,TEN
47,DET,NYG,DAL,HOU,NE,ATL,CHI,PIT,LAC,BAL,DEN,CIN,GB,SEA,MIA,CAR,TEN
48,BAL,NYG,DAL,HOU,SF,ATL,NE,CHI,LAC,PIT,DEN,CIN,GB,SEA,MIA,CAR,TEN
49,DET,LAC,CHI,HOU,SF,ATL,NYG,NE,BAL,PIT,DAL,CIN,BUF,GB,MIA,CAR,DEN
50,DET,LAC,DAL,HOU,SF,ATL,GB,NE,BAL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,NYG
51,DET,LAC,CHI,ATL,NYG,BAL,GB,PIT,HOU,NE,DEN,CIN,BUF,SF,MIA,CAR,SEA
52,DET,SF,DAL,BAL,NE,ATL,NYG,CHI,LAC,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
53,BAL,SF,CHI,ATL,NYG,MIA,GB,NE,LAC,PIT,DAL,CIN,BUF,DEN,HOU,CAR,TEN
54,BAL,SF,CHI,HOU,NYG,ATL,GB,NE,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
55,DET,GB,DAL,HOU,NYG,ATL,CHI,NE,LAC,BAL,DEN,CIN,BUF,SF,MIA,CAR,SEA
56,CHI,SF,DAL,HOU,NYG,ATL,NE,GB,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
57,DET,GB,DAL,ATL,SF,BAL,NYG,CHI,LAC,NE,HOU,DEN,BUF,SEA,MIA,CAR,PIT
58,DET,GB,DAL,ATL,SF,BAL,NE,CHI,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
59,DET,LAC,DAL,ATL,NE,BAL,CHI,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
60,BAL,NYG,DAL,HOU,SF,ATL,NE,CHI,GB,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
61,DET,SF,CHI,HOU,NE,ATL,NYG,PIT,GB,BAL,DEN,CIN,BUF,SEA,MIA,CAR,TEN
62,BAL,GB,DAL,ATL,NYG,MIA,NE,CHI,LAC,PIT,DEN,CIN,BUF,SF,HOU,CAR,SEA
63,DET,SF,DAL,BAL,NYG,MIA,CHI,PIT,LAC,NE,DEN,CIN,GB,SEA,HOU,ATL,TEN
64,DET,GB,DAL,HOU,NE,ATL,NYG,CHI,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,SF
65,CHI,LAC,DAL,HOU,SF,BAL,GB,PIT,ATL,NE,DEN,CIN,BUF,SEA,MIA,CAR,NYG
66,CHI,LAC,DAL,HOU,NE,ATL,NYG,GB,BAL,PIT,DEN,CIN,BUF,SF,MIA,CAR,TEN
67,DET,GB,CHI,HOU,NYG,ATL,NE,PIT,LAC,BAL,DEN,CIN,DAL,SEA,MIA,CAR,SF
68,DET,LAC,DAL,ATL,SF,MIA,GB,CHI,BAL,NE,DEN,CIN,BUF,SEA,HOU,CAR,PIT
69,CHI,SF,DAL,ATL,NYG,MIA,NE,GB,BAL,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
70,DET,SF,CHI,ATL,NE,MIA,NYG,PIT,LAC,BAL,DEN,CIN,BUF,SEA,HOU,CAR,TEN
71,DET,NYG,CHI,HOU,NE,ATL,GB,PIT,LAC,BAL,DAL,DEN,BUF,SEA,MIA,CAR,SF
