,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,NE,ARI,LAC,TEN,NYG,IND,HOU,BAL,CHI,NYJ,CAR,PIT,DAL,DEN,PHI,NO,GB
1,PHI,NYG,LAC,TEN,CAR,MIN,HOU,NE,CHI,ARI,IND,PIT,BAL,DEN,NYJ,NO,CIN
2,NE,NYG,BUF,TEN,CAR,IND,HOU,PHI,CHI,ARI,MIA,PIT,BAL,LAC,NYJ,NO,CIN
3,PHI,NYG,SEA,LAC,DAL,IND,HOU,BAL,CHI,NYJ,CAR,PIT,TEN,MIN,NE,NO,ATL
4,PHI,ARI,BUF,TEN,NE,IND,HOU,WSH,CHI,LAC,CAR,TB,DAL,BAL,NYJ,NO,ATL
5,PHI,ARI,SEA,TEN,CAR,IND,HOU,WSH,CHI,NYJ,NYG,DAL,BAL,DEN,LAC,NE,CIN
6,NE,NYG,LAC,TEN,CAR,IND,HOU,NYJ,CHI,ARI,MIA,DAL,BAL,MIN,PHI,NO,CIN
7,PHI,ARI,BUF,TEN,CAR,MIN,NE,HOU,CHI,NYJ,MIA,PIT,BAL,IND,LAC,NO,CIN
8,PHI,NYG,SEA,TEN,DAL,NO,HOU,WSH,CHI,ARI,CAR,PIT,BAL,LAC,IND,NE,ATL
9,NE,NYG,LAC,TEN,CAR,IND,HOU,NYJ,CHI,ARI,MIA,PIT,BAL,MIN,PHI,NO,CIN
10,NE,NYG,LAC,TEN,CAR,MIN,HOU,WSH,CHI,ARI,IND,PIT,DAL,BAL,PHI,NO,CIN
11,PHI,NE,SEA,LAC,NYG,IND,HOU,WSH,CHI,ARI,MIA,DAL,BAL,MIN,NYJ,NO,ATL
12,PHI,NYG,BUF,LAC,DAL,IND,HOU,BAL,CHI,NE,CAR,TB,TEN,MIN,NYJ,NO,ATL
13,NE,ARI,LAC,TEN,CAR,IND,HOU,WSH,CHI,NYJ,MIA,DAL,BAL,MIN,PHI,NO,GB
14,NE,ARI,NYG,TEN,CAR,IND,HOU,PHI,CHI,LAC,MIA,PIT,DAL,DEN,NYJ,NO,GB
15,PHI,NYG,BUF,TEN,NE,MIN,HOU,WSH,CHI,NYJ,CAR,DAL,BAL,LAC,IND,NO,ATL
16,NE,NYG,SEA,TEN,DAL,MIN,HOU,WSH,CHI,LAC,MIA,TB,BAL,ARI,NYJ,NO,CIN
17,PHI,ARI,SEA,TEN,NYG,MIN,NE,HOU,CHI,LAC,IND,PIT,BAL,DEN,NYJ,NO,CIN
18,NE,ARI,NYG,TEN,CAR,MIN,HOU,PHI,CHI,LAC,MIA,DAL,BAL,IND,NYJ,NO,CIN
19,PHI,NYG,BUF,LAC,CAR,MIN,HOU,NYJ,CHI,ARI,IND,PIT,BAL,DEN,NE,NO,CIN
20,PHI,NE,LAC,TEN,NYG,MIN,HOU,NYJ,CHI,ARI,MIA,DAL,BAL,IND,CAR,NO,CIN
21,PHI,NYG,LAC,TEN,CAR,NO,HOU,WSH,CHI,ARI,MIA,TB,DAL,BAL,NYJ,NE,PIT
22,NE,NYG,SEA,TEN,CAR,MIN,HOU,WSH,CHI,NYJ,MIA,TB,BAL,IND,PHI,NO,CIN
23,NE,ARI,BUF,TEN,NYG,IND,HOU,NYJ,CHI,LAC,MIA,PIT,BAL,DEN,PHI,NO,CIN
24,PHI,ARI,NYG,TEN,CAR,NO,HOU,WSH,CHI,LAC,IND,DAL,BAL,MIN,NYJ,NE,PIT
25,NE,ARI,LAC,TEN,NYG,MIN,HOU,WSH,CHI,NYJ,IND,TB,DAL,DEN,PHI,NO,ATL
26,NE,ARI,LAC,TEN,NYG,IND,HOU,BAL,CHI,NYJ,MIA,PIT,DAL,DEN,PHI,NO,ATL
27,PHI,ARI,BUF,TEN,NYG,MIN,HOU,NYJ,CHI,LAC,CAR,TB,BAL,IND,NE,NO,CIN
28,PHI,ARI,NYG,LAC,DAL,IND,HOU,BAL,CHI,NE,MIA,PIT,TEN,DEN,CAR,NO,ATL
29,NE,ARI,BUF,LAC,NYG,IND,HOU,WSH,CHI,NYJ,CAR,TB,BAL,MIN,PHI,NO,PIT
30,PHI,NE,LAC,TEN,CAR,MIN,NYG,BAL,CHI,ARI,IND,PIT,DAL,DEN,NYJ,NO,GB
31,PHI,NYG,SEA,TEN,NE,MIN,HOU,WSH,CHI,ARI,MIA,PIT,BAL,DEN,CAR,NO,LAC
32,PHI,ARI,BUF,LAC,NYG,MIN,NE,BAL,CHI,NYJ,IND,TB,DAL,TEN,CAR,NO,PIT
33,NE,NYG,BUF,TEN,DAL,IND,HOU,WSH,CHI,NYJ,MIA,TB,BAL,DEN,CAR,NO,LAC
34,PHI,ARI,NYG,TEN,CAR,MIN,HOU,NYJ,CHI,NE,IND,PIT,DAL,BAL,LAC,NO,ATL
35,NE,NYG,BUF,LAC,DAL,MIN,HOU,NYJ,CHI,ARI,MIA,PIT,BAL,DEN,CAR,NO,GB
36,NE,NYG,SEA,LAC,CAR,MIN,TEN,PHI,CHI,ARI,IND,DAL,BAL,DEN,NYJ,NO,GB
37,PHI,ARI,NYG,TEN,NE,MIN,HOU,NYJ,CHI,LAC,IND,DAL,BAL,DEN,CAR,NO,ATL
38,NE,NYG,LAC,TEN,CAR,IND,HOU,WSH,CHI,ARI,MIA,DAL,BAL,MIN,NYJ,NO,ATL
39,PHI,NYG,SEA,LAC,DAL,MIN,HOU,BAL,CHI,ARI,MIA,TB,TEN,IND,NE,NO,GB
40,NE,ARI,BUF,LAC,DAL,MIN,TEN,WSH,CHI,NYJ,IND,TB,BAL,DEN,CAR,NO,GB
41,NE,NYG,BUF,TEN,CAR,MIN,HOU,WSH,CHI,LAC,MIA,DAL,BAL,DEN,PHI,NO,PIT
42,PHI,NE,BUF,LAC,NYG,MIN,HOU,NYJ,CHI,ARI,CAR,DAL,BAL,TEN,IND,NO,CIN
43,PHI,ARI,NYG,TEN,NE,MIN,HOU,WSH,CHI,LAC,CAR,DAL,BAL,IND,NYJ,NO,PIT
44,NE,NYG,BUF,LAC,DAL,MIN,HOU,PHI,CHI,NYJ,IND,TB,BAL,TEN,CAR,NO,GB
45,PHI,ARI,SEA,LAC,NE,MIN,HOU,WSH,CHI,NYJ,MIA,TB,TEN,IND,CAR,NO,PIT
46,NE,NYG,LAC,TEN,CAR,MIN,HOU,NYJ,CHI,ARI,MIA,PIT,BAL,IND,PHI,NO,ATL
