,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,LAR,DET,SEA,NE,PIT,PHI,GB,TEN,DEN,IND,TB,ATL,NYJ,BUF,LAC,KC,BAL
1,LAR,DET,SEA,NE,PIT,PHI,GB,TEN,DEN,IND,TB,ATL,NYJ,BUF,LAC,MIA,BAL
2,PHI,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,TB,ATL,LAR,BUF,LAC,KC,BAL
3,LAR,DET,SEA,NE,PIT,PHI,GB,TEN,DEN,IND,MIN,ATL,NYJ,BUF,LAC,MIA,BAL
4,PHI,DET,SEA,NE,PIT,LAR,GB,TEN,DEN,IND,MIN,ATL,NYJ,BUF,LAC,KC,BAL
6,PHI,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,MIN,ATL,LAR,BUF,LAC,MIA,BAL
8,LAR,DET,SEA,NE,PIT,PHI,GB,TEN,DEN,IND,MIN,ATL,NYJ,BUF,LAC,KC,BAL
9,LAR,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,PHI,MIN,ATL,IND,BUF,LAC,MIA,BAL
11,PHI,DET,SEA,NE,PIT,LAR,GB,TEN,DEN,IND,TB,ATL,NYJ,BUF,LAC,KC,BAL
14,PHI,DET,SEA,NE,PIT,LAR,GB,TEN,DEN,IND,TB,ATL,NYJ,BUF,LAC,MIA,BAL
15,PHI,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,TB,ATL,LAR,BUF,LAC,MIA,BAL
17,PHI,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,MIN,ATL,LAR,BUF,LAC,KC,BAL
20,PHI,DET,SEA,NE,PIT,LAR,GB,TEN,DEN,IND,MIN,ATL,NYJ,BUF,LAC,MIA,BAL
