date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
10/6/2013,2013,0,0,MIA,BAL,1522.527,1610.51,0.466972964,23,26,0
10/6/2013,2013,0,0,CIN,NE,1539.898,1675.286,0.400067012,13,6,1
10/6/2013,2013,0,0,ARI,CAR,1430.62,1527.161,0.454733138,22,6,1
10/6/2013,2013,0,0,GB,DET,1589.841,1497.109,0.712586299,22,9,1
10/7/2013,2013,0,0,ATL,NYJ,1547.308,1428.751,0.742047736,28,30,0
10/10/2013,2013,0,0,CHI,NYG,1528.561,1416.859,0.734422637,27,21,1
10/13/2013,2013,0,0,DEN,JAX,1685.898,1263.065,0.943116928,35,19,1
10/13/2013,2013,0,0,MIN,CAR,1495.528,1495.814,0.592068659,10,35,0
10/13/2013,2013,0,0,DAL,WSH,1490.191,1472.644,0.616608757,31,16,1
10/13/2013,2013,0,0,CLE,DET,1468.252,1482.954,0.571883162,17,31,0
10/13/2013,2013,0,0,HOU,LAR,1528.624,1425.686,0.724467006,13,38,0
10/13/2013,2013,0,0,TB,PHI,1424.774,1420.816,0.597955644,20,31,0
10/13/2013,2013,0,0,SF,ARI,1611.679,1461.967,0.774863784,32,20,1
10/13/2013,2013,0,0,SEA,TEN,1641.505,1479.085,0.787368333,20,13,1
10/13/2013,2013,0,0,BAL,GB,1623.323,1603.996,0.619028144,17,19,0
10/13/2013,2013,0,0,NYJ,PIT,1446.54,1428.985,0.616619644,6,19,0
10/13/2013,2013,0,0,NE,NO,1649.511,1621.523,0.6307142,30,27,1
10/13/2013,2013,0,0,KC,OAK,1495.679,1403.707,0.711689453,24,7,1
10/13/2013,2013,0,0,BUF,CIN,1427.078,1565.673,0.395644415,24,27,0
10/14/2013,2013,0,0,LAC,IND,1472.527,1584.973,0.432141023,19,9,1
10/17/2013,2013,0,0,ARI,SEA,1451.444,1649.52,0.317334832,22,34,0
10/20/2013,2013,0,0,TEN,SF,1471.07,1622.201,0.378525864,17,31,0
10/20/2013,2013,0,0,CAR,LAR,1535.564,1476.795,0.670947071,30,15,1
10/20/2013,2013,0,0,ATL,TB,1529.519,1394.095,0.760192156,31,23,1
10/20/2013,2013,0,0,IND,DEN,1557.14,1688.536,0.405594923,39,33,1
10/20/2013,2013,0,0,DET,CIN,1514.652,1576.288,0.504841034,24,27,0
10/20/2013,2013,0,0,GB,CLE,1618.14,1436.554,0.805254237,31,13,1
10/20/2013,2013,0,0,KC,HOU,1511.235,1477.515,0.638365738,17,16,1
10/20/2013,2013,0,0,MIA,BUF,1509.714,1416.463,0.713197792,21,23,0
10/20/2013,2013,0,0,NYJ,NE,1412.725,1659.334,0.260104509,30,27,1
10/20/2013,2013,0,0,PHI,DAL,1451.495,1510.682,0.508364799,3,17,0
10/20/2013,2013,0,0,PIT,BAL,1462.8,1609.18,0.384980584,19,16,1
10/20/2013,2013,0,0,WSH,CHI,1452.153,1538.129,0.469849733,45,41,1
10/20/2013,2013,0,0,JAX,LAC,1260.427,1500.361,0.26756716,6,24,0
10/21/2013,2013,0,0,NYG,MIN,1407.291,1455.778,0.52374624,23,7,1
10/24/2013,2013,0,0,TB,CAR,1384.437,1552.838,0.355437125,13,31,0
10/27/2013,2013,0,0,NE,MIA,1636.974,1492.828,0.769225151,27,17,1
10/27/2013,2013,0,0,NO,BUF,1611.699,1433.348,0.802317303,35,17,1
10/27/2013,2013,0,0,MIN,GB,1428.993,1628.452,0.315612686,31,44,0
10/27/2013,2013,0,0,KC,CLE,1516.033,1426.241,0.709107712,23,17,1
10/27/2013,2013,0,0,OAK,PIT,1388.15,1480.507,0.460711275,21,18,1
10/27/2013,2013,0,0,CIN,NYJ,1590.306,1435.085,0.78034774,49,9,1
10/27/2013,2013,0,0,DET,DAL,1500.634,1538.288,0.539272993,31,30,1
10/27/2013,2013,0,0,DEN,WSH,1664.683,1469.382,0.817337662,45,21,1
10/27/2013,2013,0,0,ARI,ATL,1436.094,1539.178,0.445411178,27,13,1
10/27/2013,2013,1,0,SF,JAX,1641.93,1245.831,0.907217917,42,10,1
10/27/2013,2013,0,0,PHI,NYG,1423.889,1434.077,0.578232845,7,15,0
10/28/2013,2013,0,0,LAR,SEA,1459.52,1664.87,0.308334005,9,14,0
10/31/2013,2013,0,0,MIA,CIN,1482.722,1605.136,0.418118593,22,20,1
11/3/2013,2013,0,0,CAR,ATL,1572.83,1508.612,0.677834682,34,10,1
11/3/2013,2013,0,0,WSH,LAC,1458.867,1514.957,0.51281971,30,24,1
11/3/2013,2013,0,0,CLE,BAL,1415.665,1591.473,0.345729969,24,18,1
11/3/2013,2013,0,0,SEA,TB,1675.257,1364.445,0.896909505,27,24,1
11/3/2013,2013,0,0,OAK,PHI,1403.291,1397.829,0.600035224,20,49,0
11/3/2013,2013,0,0,NE,PIT,1647.081,1465.367,0.80536976,55,31,1
11/3/2013,2013,0,0,HOU,IND,1472.717,1580.993,0.438040926,24,27,0
11/3/2013,2013,0,0,DAL,MIN,1531.98,1413.294,0.74218985,27,23,1
11/3/2013,2013,0,0,NYJ,NO,1420.256,1622.181,0.312554509,26,20,1
