,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,PHI,DET,SEA,NE,PIT,LAR,GB,TEN,DEN,IND,MIN,ATL,NYJ,BUF,LAC,KC,BAL
1,PHI,DET,SEA,NE,PIT,LAR,GB,TEN,DEN,IND,TB,ATL,NYJ,BUF,LAC,MIA,BAL
2,LAR,DET,SEA,NE,PIT,PHI,GB,TEN,DEN,IND,MIN,ATL,NYJ,BUF,LAC,MIA,BAL
3,PHI,DET,SEA,NE,PIT,LAR,GB,TEN,DEN,IND,MIN,ATL,NYJ,BUF,LAC,MIA,BAL
4,PHI,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,TB,ATL,LAR,BUF,LAC,KC,BAL
6,PHI,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,MIN,ATL,LAR,BUF,LAC,MIA,BAL
12,PHI,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,MIN,ATL,LAR,BUF,LAC,KC,BAL
15,LAR,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,TB,ATL,PHI,BUF,LAC,KC,BAL
16,LAR,DET,SEA,NE,PIT,PHI,GB,TEN,DEN,IND,MIN,ATL,NYJ,BUF,LAC,KC,BAL
17,LAR,DET,SEA,NE,PIT,PHI,GB,TEN,DEN,IND,TB,ATL,NYJ,BUF,LAC,KC,BAL
20,LAR,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,PHI,TB,ATL,IND,BUF,LAC,KC,BAL
22,PHI,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,TB,ATL,LAR,BUF,LAC,MIA,BAL
28,LAR,DET,SEA,NE,PIT,PHI,GB,TEN,DEN,IND,TB,ATL,NYJ,BUF,LAC,MIA,BAL
35,PHI,DET,SEA,NE,PIT,LAR,GB,TEN,DEN,IND,TB,ATL,NYJ,BUF,LAC,KC,BAL
47,LAR,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,PHI,TB,ATL,IND,BUF,LAC,MIA,BAL
48,LAR,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,PHI,MIN,ATL,IND,BUF,LAC,KC,BAL
68,LAR,DET,SEA,NE,PIT,NYJ,GB,TEN,DEN,IND,MIN,ATL,PHI,BUF,LAC,MIA,BAL
