,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,NE,NYG,LAC,TEN,DAL,IND,HOU,WSH,CHI,NYJ,CAR,PIT,BAL,ARI,PHI,NO,CIN
1,NE,NYG,BUF,TEN,DAL,MIN,HOU,WSH,CHI,ARI,CAR,TB,BAL,IND,PHI,NO,ATL
2,PHI,NE,SEA,LAC,DAL,MIN,NYG,NYJ,CHI,ARI,IND,TB,TEN,BAL,CAR,NO,GB
3,NE,ARI,BUF,LAC,DAL,MIN,HOU,WSH,CHI,NYJ,NYG,TB,TEN,DEN,PHI,NO,GB
4,PHI,NE,BUF,TEN,NYG,IND,HOU,NYJ,CHI,LAC,MIA,PIT,DAL,ARI,CAR,NO,BAL
5,PHI,NE,NYG,TEN,DAL,IND,HOU,NYJ,CHI,ARI,MIA,TB,BAL,LAC,CAR,NO,CIN
6,NE,ARI,NYG,LAC,DAL,MIN,TEN,PHI,CHI,NYJ,MIA,PIT,BAL,IND,CAR,NO,CIN
7,NE,ARI,BUF,LAC,DAL,MIN,HOU,PHI,CHI,NYJ,NYG,TB,BAL,TEN,CAR,NO,GB
8,NE,NYG,SEA,TEN,DAL,MIN,HOU,PHI,CHI,LAC,MIA,TB,BAL,ARI,NYJ,NO,CIN
9,NE,NYG,SEA,TEN,DAL,IND,HOU,NYJ,CHI,LAC,CAR,PIT,BAL,MIN,PHI,NO,ATL
10,NE,NYG,LAC,TEN,CAR,MIN,HOU,BAL,CHI,NYJ,IND,TB,DAL,ARI,PHI,NO,ATL
11,PHI,NYG,BUF,LAC,DAL,IND,TEN,NYJ,CHI,NE,MIA,TB,BAL,MIN,CAR,NO,GB
12,PHI,NE,BUF,LAC,CAR,IND,TEN,HOU,CHI,ARI,MIA,DAL,BAL,MIN,NYJ,NO,PIT
13,NE,ARI,BUF,LAC,DAL,MIN,HOU,PHI,CHI,NYJ,IND,PIT,TEN,BAL,CAR,NO,CIN
14,PHI,ARI,SEA,LAC,CAR,MIN,NE,HOU,CHI,NYJ,MIA,TB,DAL,BAL,IND,NO,ATL
15,NE,NYG,SEA,LAC,DAL,IND,HOU,PHI,CHI,NYJ,MIA,TB,BAL,ARI,CAR,NO,PIT
16,PHI,NYG,BUF,LAC,DAL,IND,HOU,WSH,CHI,NYJ,MIA,TB,BAL,ARI,NE,NO,GB
17,NE,ARI,SEA,LAC,DAL,MIN,TEN,WSH,CHI,NYJ,CAR,TB,BAL,DEN,IND,NO,GB
18,NE,ARI,SEA,LAC,CAR,MIN,TEN,WSH,CHI,NYJ,NYG,TB,DAL,IND,PHI,NO,GB
19,NE,ARI,NYG,TEN,CAR,MIN,HOU,NYJ,CHI,LAC,IND,TB,BAL,DEN,PHI,NO,PIT
20,NE,NYG,LAC,TEN,CAR,MIN,HOU,WSH,CHI,ARI,MIA,PIT,DAL,IND,NYJ,NO,CIN
21,PHI,NE,SEA,LAC,CAR,MIN,TEN,WSH,CHI,ARI,IND,DAL,BAL,DEN,NYJ,NO,GB
22,PHI,NYG,BUF,LAC,NE,MIN,HOU,NYJ,CHI,ARI,IND,PIT,DAL,DEN,CAR,NO,ATL
23,PHI,NYG,SEA,TEN,DAL,IND,HOU,WSH,CHI,ARI,MIA,TB,BAL,DEN,NE,NO,GB
24,NE,NYG,LAC,TEN,DAL,MIN,HOU,NYJ,CHI,ARI,CAR,PIT,BAL,IND,PHI,NO,CIN
25,NE,ARI,BUF,TEN,NYG,IND,HOU,BAL,CHI,LAC,MIA,TB,DAL,DEN,PHI,NO,GB
26,NE,NYG,LAC,TEN,CAR,IND,HOU,BAL,CHI,ARI,MIA,PIT,DAL,DEN,NYJ,NO,CIN
27,PHI,NYG,LAC,TEN,DAL,IND,HOU,NYJ,CHI,ARI,MIA,TB,BAL,MIN,NE,NO,CIN
28,PHI,NYG,SEA,LAC,DAL,IND,NE,NYJ,CHI,ARI,MIA,PIT,BAL,MIN,CAR,NO,GB
29,NE,ARI,BUF,LAC,DAL,IND,TEN,WSH,CHI,NYJ,CAR,TB,BAL,DEN,PHI,NO,GB
30,PHI,NYG,SEA,TEN,DAL,MIN,NE,WSH,CHI,NYJ,MIA,PIT,BAL,LAC,CAR,NO,GB
31,PHI,ARI,NYG,LAC,CAR,MIN,HOU,WSH,CHI,NE,MIA,TB,TEN,DEN,IND,NO,BAL
32,NE,NYG,LAC,TEN,DAL,IND,HOU,WSH,CHI,ARI,MIA,PIT,BAL,MIN,CAR,NO,GB
33,NE,ARI,LAC,TEN,DAL,IND,HOU,PHI,CHI,NYJ,MIA,TB,BAL,DEN,CAR,NO,PIT
34,NE,ARI,LAC,TEN,NYG,MIN,HOU,WSH,CHI,NYJ,MIA,DAL,BAL,IND,PHI,NO,PIT
35,NE,NYG,BUF,LAC,DAL,MIN,TEN,NYJ,CHI,ARI,MIA,PIT,BAL,IND,PHI,NO,GB
36,PHI,NYG,SEA,LAC,CAR,IND,HOU,WSH,CHI,NE,MIA,DAL,BAL,MIN,NYJ,NO,CIN
37,PHI,NE,NYG,TEN,DAL,IND,HOU,WSH,CHI,LAC,MIA,PIT,BAL,DEN,NYJ,NO,ATL
38,PHI,ARI,SEA,LAC,CAR,MIN,NYG,NE,CHI,NYJ,MIA,PIT,BAL,TEN,IND,NO,ATL
39,PHI,ARI,BUF,TEN,CAR,MIN,HOU,NYJ,CHI,LAC,IND,TB,BAL,DEN,NE,NO,ATL
40,PHI,NE,SEA,LAC,CAR,IND,TEN,HOU,CHI,ARI,NYG,TB,BAL,MIN,NYJ,NO,ATL
41,NE,ARI,BUF,TEN,NYG,MIN,HOU,BAL,CHI,LAC,CAR,PIT,DAL,IND,NYJ,NO,CIN
42,NE,NYG,BUF,LAC,CAR,MIN,HOU,NYJ,CHI,ARI,MIA,TB,DAL,BAL,PHI,NO,CIN
43,NE,NYG,BUF,LAC,CAR,MIN,HOU,BAL,CHI,ARI,MIA,TB,DAL,DEN,NYJ,NO,ATL
44,PHI,NE,BUF,TEN,CAR,IND,HOU,WSH,CHI,ARI,MIA,TB,DAL,DEN,LAC,NO,GB
45,PHI,NYG,BUF,LAC,DAL,IND,HOU,NYJ,CHI,NE,MIA,TB,TEN,ARI,CAR,NO,CIN
46,PHI,NE,LAC,TEN,DAL,MIN,HOU,WSH,CHI,ARI,CAR,TB,BAL,IND,NYJ,NO,ATL
47,PHI,NE,NYG,LAC,DAL,MIN,HOU,BAL,CHI,ARI,IND,TB,TEN,DEN,NYJ,NO,CIN
48,PHI,ARI,BUF,LAC,NYG,IND,HOU,NYJ,CHI,NE,MIA,TB,DAL,TEN,CAR,NO,PIT
49,NE,ARI,SEA,LAC,NYG,MIN,TEN,WSH,CHI,NYJ,IND,TB,BAL,DEN,PHI,NO,ATL
50,PHI,NYG,SEA,LAC,NE,MIN,HOU,WSH,CHI,NYJ,MIA,PIT,BAL,IND,CAR,NO,CIN
51,NE,NYG,SEA,TEN,CAR,MIN,HOU,WSH,CHI,ARI,IND,TB,BAL,LAC,PHI,NO,CIN
52,PHI,ARI,LAC,TEN,DAL,IND,HOU,NYJ,CHI,NE,MIA,TB,BAL,MIN,CAR,NO,CIN
53,PHI,ARI,LAC,TEN,NYG,NO,HOU,WSH,CHI,NYJ,MIA,PIT,BAL,MIN,IND,NE,GB
54,NE,NYG,SEA,LAC,CAR,MIN,HOU,WSH,CHI,ARI,IND,PIT,DAL,TEN,PHI,NO,CIN
55,PHI,ARI,NYG,TEN,NE,MIN,HOU,WSH,CHI,LAC,IND,TB,BAL,DEN,NYJ,NO,PIT
56,PHI,ARI,SEA,TEN,DAL,MIN,HOU,NYJ,CHI,NE,NYG,TB,BAL,LAC,CAR,NO,PIT
57,NE,NYG,BUF,LAC,DAL,IND,TEN,HOU,CHI,ARI,MIA,TB,BAL,MIN,PHI,NO,CIN
58,PHI,NE,BUF,TEN,DAL,IND,HOU,WSH,CHI,LAC,NYG,PIT,BAL,MIN,NYJ,NO,GB
59,PHI,NYG,BUF,TEN,CAR,NO,HOU,WSH,CHI,NYJ,MIA,DAL,BAL,LAC,IND,NE,CIN
60,PHI,NYG,LAC,TEN,CAR,MIN,HOU,NE,CHI,ARI,MIA,PIT,BAL,IND,NYJ,NO,ATL
61,PHI,NYG,LAC,TEN,NE,IND,HOU,NYJ,CHI,ARI,MIA,DAL,BAL,MIN,CAR,NO,PIT
62,PHI,NE,SEA,TEN,DAL,IND,HOU,NYJ,CHI,ARI,NYG,PIT,BAL,DEN,LAC,NO,ATL
63,PHI,NYG,LAC,TEN,DAL,IND,HOU,WSH,CHI,ARI,CAR,PIT,BAL,MIN,NYJ,NE,CIN
64,NE,NYG,SEA,LAC,CAR,IND,TEN,NYJ,CHI,ARI,MIA,TB,BAL,DEN,PHI,NO,CIN
65,NE,ARI,NYG,LAC,DAL,IND,HOU,BAL,CHI,NYJ,MIA,PIT,TEN,MIN,PHI,NO,CIN
66,NE,NYG,SEA,TEN,DAL,MIN,HOU,NYJ,CHI,LAC,MIA,PIT,BAL,DEN,IND,NO,CIN
67,PHI,ARI,BUF,LAC,DAL,MIN,HOU,NYJ,CHI,NE,IND,TB,BAL,DEN,CAR,NO,CIN
68,NE,ARI,NYG,TEN,DAL,IND,HOU,PHI,CHI,NYJ,CAR,TB,BAL,MIN,LAC,NO,ATL
69,NE,ARI,SEA,TEN,NYG,MIN,HOU,WSH,CHI,LAC,IND,TB,BAL,DEN,CAR,NO,GB
70,PHI,ARI,SEA,TEN,NE,IND,HOU,NYJ,CHI,LAC,NYG,PIT,BAL,DEN,CAR,NO,ATL
71,PHI,NYG,LAC,TEN,NE,MIN,HOU,WSH,CHI,ARI,CAR,PIT,BAL,IND,NYJ,NO,ATL
72,PHI,NE,LAC,TEN,CAR,IND,HOU,BAL,CHI,ARI,MIA,TB,DAL,DEN,NYJ,NO,GB
73,NE,ARI,LAC,TEN,DAL,MIN,NYG,HOU,CHI,NYJ,IND,PIT,BAL,DEN,PHI,NO,CIN
74,PHI,NYG,SEA,TEN,DAL,IND,NE,HOU,CHI,LAC,MIA,PIT,BAL,ARI,CAR,NO,CIN
75,NE,NYG,LAC,TEN,DAL,MIN,HOU,PHI,CHI,ARI,CAR,TB,BAL,DEN,NYJ,NO,ATL
76,NE,NYG,LAC,TEN,CAR,MIN,HOU,WSH,CHI,ARI,IND,TB,BAL,DEN,NYJ,NO,PIT
77,NE,NYG,BUF,LAC,DAL,IND,HOU,BAL,CHI,NYJ,CAR,PIT,TEN,ARI,PHI,NO,GB
78,PHI,ARI,NYG,LAC,CAR,MIN,HOU,WSH,CHI,NE,MIA,TB,DAL,BAL,NYJ,NO,ATL
79,NE,NYG,BUF,TEN,DAL,IND,HOU,PHI,CHI,LAC,MIA,TB,BAL,DEN,NYJ,NO,CIN
80,NE,ARI,SEA,TEN,NYG,MIN,HOU,NYJ,CHI,LAC,CAR,PIT,DAL,BAL,PHI,NO,GB
81,NE,ARI,SEA,TEN,CAR,IND,HOU,WSH,CHI,NYJ,MIA,TB,BAL,LAC,PHI,NO,CIN
82,PHI,NE,LAC,TEN,NYG,MIN,HOU,BAL,CHI,ARI,IND,PIT,DAL,DEN,NYJ,NO,GB
83,NE,ARI,LAC,TEN,NYG,MIN,HOU,PHI,CHI,NYJ,MIA,TB,DAL,IND,CAR,NO,GB
84,NE,ARI,SEA,LAC,DAL,MIN,TEN,HOU,CHI,NYJ,CAR,PIT,BAL,IND,PHI,NO,GB
85,PHI,ARI,NYG,TEN,CAR,IND,NE,HOU,CHI,LAC,MIA,TB,DAL,BAL,NYJ,NO,ATL
86,PHI,ARI,SEA,TEN,NE,MIN,NYG,HOU,CHI,LAC,IND,DAL,BAL,DEN,NYJ,NO,CIN
87,NE,ARI,BUF,LAC,NYG,MIN,TEN,WSH,CHI,NYJ,CAR,TB,BAL,DEN,IND,NO,GB
88,PHI,NYG,LAC,TEN,DAL,MIN,NE,WSH,CHI,ARI,MIA,PIT,BAL,DEN,NYJ,NO,CIN
89,NE,NYG,LAC,TEN,CAR,IND,HOU,BAL,CHI,NYJ,MIA,PIT,DAL,DEN,PHI,NO,GB
90,PHI,NE,SEA,TEN,NYG,IND,HOU,NYJ,CHI,ARI,CAR,DAL,BAL,MIN,LAC,NO,PIT
91,NE,ARI,SEA,TEN,DAL,MIN,HOU,NYJ,CHI,LAC,CAR,TB,BAL,DEN,PHI,NO,ATL
92,NE,NYG,BUF,TEN,CAR,IND,HOU,WSH,CHI,LAC,MIA,PIT,BAL,ARI,PHI,NO,CIN
93,NE,NYG,BUF,TEN,CAR,IND,HOU,WSH,CHI,LAC,MIA,TB,BAL,MIN,PHI,NO,CIN
94,NE,ARI,NYG,TEN,DAL,MIN,HOU,PHI,CHI,LAC,CAR,TB,BAL,IND,NYJ,NO,ATL
95,PHI,NE,BUF,TEN,NYG,IND,HOU,BAL,CHI,ARI,CAR,PIT,DAL,MIN,NYJ,NO,LAC
96,NE,NYG,SEA,LAC,CAR,IND,TEN,WSH,CHI,NYJ,MIA,TB,BAL,ARI,PHI,NO,CIN
97,PHI,ARI,NYG,TEN,NE,IND,HOU,BAL,CHI,LAC,CAR,PIT,DAL,MIN,NYJ,NO,GB
98,PHI,NYG,BUF,LAC,NE,IND,HOU,NYJ,CHI,ARI,MIA,DAL,TEN,DEN,CAR,NO,BAL
99,NE,NYG,LAC,TEN,CAR,MIN,HOU,WSH,CHI,NYJ,MIA,DAL,BAL,ARI,IND,NO,ATL
100,NE,NYG,LAC,TEN,DAL,MIN,HOU,NYJ,CHI,ARI,IND,TB,BAL,DEN,PHI,NO,CIN
101,PHI,ARI,LAC,TEN,NYG,MIN,HOU,NYJ,CHI,NE,IND,PIT,BAL,DEN,CAR,NO,GB
102,PHI,NYG,BUF,TEN,CAR,IND,HOU,WSH,CHI,NE,MIA,PIT,DAL,MIN,NYJ,NO,BAL
103,NE,NYG,BUF,TEN,CAR,IND,HOU,WSH,CHI,LAC,MIA,DAL,BAL,ARI,NYJ,NO,ATL
104,PHI,NE,NYG,LAC,DAL,MIN,HOU,WSH,CHI,ARI,CAR,PIT,BAL,DEN,NYJ,NO,GB
105,PHI,NE,BUF,LAC,NYG,MIN,HOU,BAL,CHI,ARI,CAR,PIT,DAL,TEN,IND,NO,CIN
106,PHI,NYG,SEA,LAC,DAL,IND,NE,BAL,CHI,NYJ,MIA,TB,TEN,MIN,CAR,NO,CIN
107,PHI,NE,NYG,LAC,CAR,MIN,HOU,WSH,CHI,ARI,MIA,PIT,DAL,DEN,NYJ,NO,GB
108,PHI,NYG,SEA,LAC,CAR,IND,NE,HOU,CHI,ARI,MIA,DAL,TEN,BAL,NYJ,NO,PIT
109,NE,NYG,LAC,TEN,DAL,IND,HOU,WSH,CHI,ARI,MIA,TB,BAL,DEN,PHI,NO,PIT
110,PHI,NE,NYG,TEN,DAL,MIN,HOU,NYJ,CHI,LAC,MIA,TB,BAL,ARI,IND,NO,PIT
111,NE,ARI,NYG,TEN,DAL,IND,HOU,NYJ,CHI,LAC,MIA,TB,BAL,MIN,CAR,NO,CIN
112,NE,NYG,SEA,LAC,DAL,MIN,TEN,NYJ,CHI,ARI,MIA,TB,BAL,IND,PHI,NO,CIN
113,NE,ARI,SEA,TEN,DAL,MIN,NYG,HOU,CHI,NYJ,MIA,PIT,BAL,LAC,CAR,NO,CIN
114,NE,ARI,BUF,TEN,DAL,IND,HOU,WSH,CHI,NYJ,NYG,TB,BAL,LAC,PHI,NO,GB
115,NE,NYG,LAC,TEN,CAR,IND,HOU,WSH,CHI,ARI,MIA,TB,BAL,DEN,PHI,NO,PIT
116,PHI,NYG,LAC,TEN,CAR,NO,HOU,BAL,CHI,ARI,MIA,PIT,DAL,IND,NYJ,NE,GB
117,NE,NYG,LAC,TEN,CAR,IND,HOU,BAL,CHI,ARI,MIA,PIT,DAL,MIN,NYJ,NO,GB
118,PHI,NE,SEA,LAC,NYG,MIN,TEN,HOU,CHI,ARI,MIA,TB,DAL,BAL,IND,NO,PIT
119,PHI,NYG,SEA,LAC,CAR,MIN,TEN,BAL,CHI,NYJ,MIA,PIT,DAL,DEN,NE,NO,ATL
120,PHI,NE,BUF,LAC,DAL,MIN,TEN,WSH,CHI,NYJ,MIA,TB,BAL,IND,CAR,NO,PIT
121,NE,ARI,BUF,TEN,CAR,MIN,NYG,HOU,CHI,LAC,IND,DAL,BAL,DEN,NYJ,NO,CIN
122,PHI,ARI,SEA,LAC,CAR,MIN,HOU,BAL,CHI,NYJ,IND,TB,TEN,DEN,NE,NO,ATL
123,PHI,ARI,BUF,TEN,DAL,MIN,NE,HOU,CHI,LAC,NYG,TB,BAL,IND,NYJ,NO,CIN
124,PHI,NYG,BUF,LAC,CAR,MIN,TEN,HOU,CHI,ARI,IND,TB,DAL,BAL,NYJ,NE,ATL
125,PHI,ARI,BUF,TEN,DAL,MIN,NYG,NE,CHI,NYJ,MIA,TB,BAL,DEN,LAC,NO,CIN
126,NE,NYG,LAC,TEN,DAL,IND,HOU,WSH,CHI,NYJ,MIA,TB,BAL,ARI,CAR,NO,GB
127,NE,ARI,LAC,TEN,CAR,MIN,NYG,WSH,CHI,NYJ,IND,TB,BAL,DEN,PHI,NO,ATL
128,PHI,NYG,LAC,TEN,DAL,MIN,NE,HOU,CHI,ARI,MIA,TB,BAL,IND,NYJ,NO,CIN
129,NE,ARI,SEA,TEN,CAR,IND,HOU,BAL,CHI,NYJ,NYG,PIT,DAL,DEN,PHI,NO,ATL
130,NE,ARI,SEA,LAC,DAL,IND,NYG,BAL,CHI,NYJ,MIA,TB,TEN,MIN,CAR,NO,CIN
