,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,NE,WSH,PHI,SF,NYG,JAX,IND,DAL,NO,MIN,ARI,CIN,CHI,TEN,BAL,GB,LAC
1,NO,WSH,PHI,NYG,PIT,GB,NE,DAL,IND,ARI,MIN,CIN,CHI,TEN,BAL,SF,LAC
2,NE,WSH,PHI,NYG,PIT,GB,IND,DAL,NO,ARI,MIN,CIN,CHI,TEN,BAL,SF,LAC
3,NO,WSH,BAL,CHI,NYG,JAX,NE,DAL,IND,MIN,ARI,ATL,CIN,TEN,PHI,SF,LAC
4,BAL,WSH,PHI,NYG,PIT,GB,NE,DAL,NO,ARI,MIN,ATL,CIN,TEN,IND,SF,LAC
5,NO,WSH,BAL,SF,NYG,PIT,NE,DAL,IND,MIN,ARI,CIN,CHI,TEN,PHI,GB,LAC
6,BAL,WSH,PHI,SF,PIT,JAX,NE,IND,NO,MIN,DAL,CIN,CHI,TEN,ARI,GB,LAC
7,BAL,WSH,PHI,SF,NYG,JAX,NE,IND,NO,MIN,DAL,ATL,CIN,TEN,ARI,GB,LAC
8,NE,WSH,PHI,SF,NYG,PIT,IND,DAL,NO,ARI,MIN,CIN,CHI,TEN,BAL,GB,LAC
9,BAL,WSH,PHI,NYG,PIT,GB,NE,IND,NO,MIN,DAL,ATL,CHI,TEN,ARI,CIN,LAC
10,NO,WSH,PHI,CHI,NYG,JAX,NE,DAL,IND,ARI,MIN,ATL,CIN,TEN,BAL,GB,LAC
11,NE,WSH,BAL,NYG,PIT,GB,IND,DAL,NO,MIN,ARI,ATL,CHI,TEN,PHI,CIN,LAC
12,BAL,WSH,PHI,CHI,NYG,PIT,NE,IND,NO,MIN,DAL,ATL,CIN,TEN,ARI,GB,LAC
13,NE,WSH,BAL,SF,PIT,JAX,IND,DAL,NO,MIN,ARI,CIN,CHI,TEN,PHI,GB,LAC
14,BAL,WSH,PHI,NYG,PIT,GB,NE,IND,NO,MIN,DAL,CIN,CHI,TEN,ARI,SF,LAC
15,NO,WSH,PHI,NYG,PIT,GB,NE,DAL,IND,MIN,ARI,CIN,CHI,TEN,BAL,SF,LAC
16,NE,WSH,BAL,CHI,NYG,GB,IND,DAL,NO,MIN,ARI,ATL,CIN,TEN,PHI,SF,LAC
17,NE,WSH,PHI,SF,NYG,PIT,IND,DAL,NO,MIN,ARI,ATL,CIN,TEN,BAL,GB,LAC
18,NO,WSH,BAL,SF,PIT,JAX,NE,DAL,IND,ARI,MIN,CIN,CHI,TEN,PHI,GB,LAC
