,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,CHI,LAC,DAL,HOU,NE,BAL,NYG,GB,ATL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,SF
1,DET,SF,DAL,BAL,NYG,ATL,CHI,GB,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,PIT
2,DET,NYG,DAL,HOU,SF,ATL,CHI,NE,GB,BAL,DEN,CIN,BUF,SEA,MIA,CAR,TEN
3,DET,NYG,DAL,ATL,SF,MIA,NE,PIT,LAC,BAL,DEN,CHI,BUF,GB,HOU,CAR,SEA
4,CHI,NYG,DAL,ATL,SF,BAL,GB,NE,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
5,DET,NYG,DAL,ATL,NE,BAL,CHI,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,SF
6,CHI,SF,DAL,HOU,NE,BAL,NYG,GB,LAC,PIT,DEN,CIN,BUF,SEA,MIA,ATL,TEN
7,BAL,NYG,DAL,HOU,SF,ATL,GB,CHI,LAC,NE,DEN,CIN,BUF,SEA,MIA,CAR,PIT
8,CHI,LAC,DAL,ATL,NYG,BAL,GB,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
9,DET,LAC,DAL,ATL,NYG,BAL,CHI,GB,HOU,PIT,DEN,NE,BUF,SEA,MIA,CAR,TEN
10,DET,LAC,DAL,ATL,SF,BAL,CHI,NE,GB,PIT,HOU,DEN,BUF,SEA,MIA,CAR,NYG
11,CHI,NYG,DAL,HOU,NE,ATL,GB,PIT,LAC,BAL,DEN,CIN,BUF,SEA,MIA,CAR,TEN
12,DET,SF,DAL,ATL,NE,BAL,CHI,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
13,BAL,LAC,CHI,HOU,SF,ATL,NYG,PIT,GB,NE,DAL,DEN,BUF,SEA,MIA,CAR,TEN
14,DET,GB,DAL,HOU,NYG,BAL,CHI,NE,ATL,PIT,DEN,CIN,BUF,SF,MIA,CAR,SEA
15,CHI,SF,DAL,BAL,NE,ATL,NYG,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
16,DET,GB,DAL,BAL,NYG,ATL,CHI,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
17,DET,LAC,DAL,HOU,NE,BAL,CHI,GB,ATL,PIT,DEN,CIN,BUF,SF,MIA,CAR,TEN
18,DET,NYG,DAL,HOU,SF,ATL,NE,CHI,BAL,PIT,DEN,CIN,GB,SEA,MIA,CAR,TEN
19,DET,SF,CHI,ATL,NE,MIA,NYG,GB,LAC,BAL,DAL,CIN,DEN,SEA,HOU,CAR,PIT
20,CHI,LAC,DAL,BAL,SF,ATL,GB,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,NYG
21,BAL,GB,DAL,HOU,NYG,ATL,CHI,PIT,LAC,NE,DEN,CIN,BUF,SF,MIA,CAR,SEA
22,DET,NYG,DAL,ATL,NE,BAL,CHI,GB,LAC,PIT,HOU,CIN,DEN,SEA,MIA,CAR,TEN
23,BAL,SF,CHI,HOU,NYG,ATL,GB,NE,LAC,PIT,DAL,DEN,BUF,SEA,MIA,CAR,TEN
24,CHI,SF,DAL,ATL,NYG,MIA,GB,NE,LAC,BAL,DEN,CIN,BUF,SEA,HOU,CAR,TEN
25,DET,GB,DAL,HOU,NYG,BAL,NE,CHI,LAC,PIT,ATL,DEN,BUF,SF,MIA,CAR,TEN
26,DET,SF,DAL,BAL,NYG,ATL,CHI,NE,LAC,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
27,DET,NYG,CHI,HOU,SF,BAL,NE,GB,ATL,PIT,DAL,CIN,BUF,SEA,MIA,DEN,TEN
28,DET,LAC,DAL,ATL,NE,BAL,CHI,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
29,DET,NYG,DAL,BAL,SF,ATL,CHI,NE,LAC,PIT,HOU,DEN,BUF,SEA,MIA,GB,TEN
30,DET,NYG,CHI,HOU,SF,ATL,GB,PIT,LAC,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
31,DET,LAC,CHI,HOU,SF,BAL,NYG,NE,ATL,PIT,DAL,CIN,BUF,GB,MIA,CAR,SEA
32,DET,SF,CHI,HOU,NE,ATL,GB,PIT,LAC,BAL,DEN,CIN,DAL,SEA,MIA,CAR,TEN
33,DET,GB,CHI,HOU,SF,ATL,NYG,NE,BAL,PIT,DEN,CIN,DAL,SEA,MIA,CAR,LAC
34,CHI,GB,DAL,HOU,SF,ATL,NE,PIT,LAC,BAL,DEN,CIN,BUF,SEA,MIA,CAR,NYG
35,DET,SF,DAL,BAL,NE,ATL,NYG,CHI,LAC,PIT,DEN,CIN,HOU,GB,MIA,CAR,SEA
36,CHI,SF,DAL,ATL,NE,BAL,NYG,GB,LAC,PIT,HOU,DEN,BUF,SEA,MIA,CAR,TEN
37,BAL,SF,DAL,ATL,NYG,MIA,CHI,PIT,GB,NE,DEN,CIN,BUF,SEA,HOU,CAR,LAC
38,DET,NYG,CHI,ATL,SF,BAL,GB,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,LAC
39,DET,LAC,CHI,HOU,NYG,BAL,GB,NE,ATL,PIT,DEN,CIN,DAL,SF,MIA,CAR,SEA
40,CHI,SF,DAL,HOU,NYG,BAL,GB,NE,LAC,PIT,ATL,CIN,BUF,DEN,MIA,CAR,SEA
41,DET,GB,DAL,BAL,NYG,ATL,CHI,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,LAC
42,DET,LAC,CHI,ATL,SF,BAL,NE,GB,HOU,PIT,DAL,CIN,BUF,SEA,MIA,DEN,TEN
43,CHI,LAC,DAL,BAL,NYG,ATL,GB,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,SF
44,CHI,SF,DAL,ATL,NYG,BAL,GB,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
45,DET,SF,DAL,ATL,NYG,BAL,GB,CHI,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
46,BAL,NYG,DAL,ATL,SF,MIA,NE,GB,LAC,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
47,DET,SF,CHI,HOU,NYG,BAL,GB,PIT,ATL,NE,DAL,CIN,DEN,SEA,MIA,CAR,TEN
48,DET,NYG,CHI,BAL,SF,ATL,NE,GB,LAC,PIT,DEN,CIN,DAL,SEA,MIA,CAR,TEN
49,DET,NYG,CHI,HOU,SF,ATL,GB,NE,BAL,PIT,DAL,CIN,BUF,SEA,MIA,DEN,LAC
50,DET,NYG,CHI,HOU,NE,ATL,GB,PIT,LAC,BAL,DEN,CIN,DAL,SEA,MIA,CAR,TEN
51,DET,LAC,DAL,HOU,NE,BAL,NYG,CHI,GB,PIT,ATL,CIN,BUF,DEN,MIA,CAR,TEN
52,CHI,SF,DAL,BAL,NYG,MIA,GB,NE,LAC,PIT,DEN,CIN,ATL,SEA,HOU,CAR,TEN
53,DET,NYG,DAL,HOU,NE,ATL,GB,CHI,BAL,PIT,DEN,CIN,BUF,SF,MIA,CAR,SEA
54,DET,LAC,DAL,HOU,SF,BAL,NE,CHI,ATL,PIT,DEN,CIN,GB,SEA,MIA,CAR,TEN
55,CHI,NYG,DAL,HOU,SF,ATL,NE,GB,BAL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
56,DET,SF,CHI,BAL,NYG,ATL,GB,NE,LAC,PIT,HOU,DEN,BUF,SEA,MIA,CAR,TEN
58,BAL,SF,DAL,HOU,NYG,ATL,GB,CHI,LAC,PIT,DEN,NE,BUF,SEA,MIA,CAR,TEN
59,CHI,SF,DAL,ATL,NYG,BAL,NE,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
60,CHI,LAC,DAL,BAL,NYG,MIA,NE,GB,ATL,PIT,DEN,CIN,BUF,SF,HOU,CAR,TEN
62,CHI,NYG,DAL,HOU,SF,BAL,NE,GB,LAC,PIT,DEN,CIN,ATL,SEA,MIA,CAR,TEN
63,DET,SF,CHI,HOU,NYG,BAL,GB,NE,ATL,PIT,DAL,CIN,BUF,SEA,MIA,DEN,LAC
64,BAL,SF,DAL,HOU,NYG,ATL,GB,PIT,LAC,NE,DEN,CHI,BUF,SEA,MIA,CAR,TEN
65,CHI,SF,DAL,BAL,NYG,ATL,NE,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
66,BAL,SF,CHI,HOU,NYG,ATL,GB,PIT,LAC,NE,DAL,DEN,BUF,SEA,MIA,CAR,TEN
67,DET,SF,DAL,ATL,NE,BAL,GB,CHI,LAC,PIT,HOU,CIN,BUF,DEN,MIA,CAR,TEN
68,CHI,NYG,DAL,HOU,SF,ATL,GB,NE,BAL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
69,DET,NYG,DAL,HOU,SF,BAL,CHI,NE,LAC,PIT,DEN,CIN,GB,SEA,MIA,ATL,TEN
70,DET,LAC,DAL,BAL,SF,ATL,GB,CHI,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
71,DET,NYG,DAL,ATL,NE,BAL,GB,CHI,HOU,PIT,DEN,CIN,BUF,SF,MIA,CAR,LAC
72,CHI,NYG,DAL,HOU,SF,BAL,NE,GB,LAC,PIT,ATL,DEN,BUF,SEA,MIA,CAR,TEN
73,DET,GB,DAL,ATL,SF,BAL,NE,CHI,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
74,DET,GB,CHI,BAL,SF,MIA,NYG,PIT,LAC,NE,DEN,CIN,BUF,SEA,HOU,CAR,TEN
75,DET,SF,CHI,BAL,NYG,MIA,GB,NE,ATL,PIT,DAL,DEN,BUF,SEA,HOU,CAR,TEN
76,CHI,LAC,DAL,ATL,SF,MIA,NYG,NE,GB,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
77,DET,SF,CHI,HOU,NE,ATL,NYG,PIT,LAC,BAL,DAL,DEN,BUF,SEA,MIA,GB,TEN
78,DET,NYG,CHI,HOU,NE,ATL,GB,PIT,LAC,BAL,DAL,CIN,DEN,SEA,MIA,CAR,TEN
79,DET,NYG,DAL,BAL,SF,ATL,NE,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
80,DET,SF,CHI,BAL,NYG,MIA,GB,PIT,LAC,NE,DAL,CIN,ATL,DEN,HOU,CAR,SEA
81,CHI,NYG,DAL,HOU,SF,ATL,GB,PIT,LAC,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
82,CHI,LAC,DAL,HOU,NYG,BAL,GB,NE,ATL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,SF
83,DET,SF,DAL,BAL,NYG,ATL,CHI,NE,HOU,PIT,DEN,CIN,GB,SEA,MIA,CAR,TEN
84,DET,NYG,CHI,ATL,SF,BAL,GB,NE,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
85,BAL,LAC,DAL,ATL,SF,MIA,NE,CHI,GB,PIT,DEN,CIN,BUF,SEA,HOU,CAR,NYG
86,DET,GB,DAL,ATL,NYG,MIA,NE,PIT,LAC,BAL,DEN,CIN,BUF,SEA,HOU,CAR,SF
87,CHI,GB,DAL,HOU,NYG,ATL,NE,PIT,LAC,BAL,DEN,CIN,BUF,SF,MIA,CAR,SEA
88,CHI,LAC,DAL,ATL,SF,MIA,NYG,GB,BAL,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
89,DET,SF,DAL,BAL,NE,ATL,CHI,GB,LAC,PIT,HOU,DEN,BUF,SEA,MIA,CAR,TEN
90,CHI,GB,DAL,HOU,NYG,ATL,NE,PIT,LAC,BAL,DEN,CIN,BUF,SEA,MIA,CAR,TEN
91,BAL,SF,CHI,HOU,NYG,ATL,NE,GB,LAC,PIT,DEN,CIN,DAL,SEA,MIA,CAR,TEN
92,BAL,NYG,CHI,HOU,SF,ATL,GB,PIT,LAC,NE,DAL,CIN,BUF,SEA,MIA,DEN,TEN
93,CHI,GB,DAL,BAL,SF,ATL,NYG,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,LAC
94,DET,SF,CHI,ATL,NYG,BAL,NE,GB,HOU,PIT,DAL,CIN,BUF,DEN,MIA,CAR,LAC
96,DET,NYG,CHI,ATL,SF,MIA,GB,NE,LAC,BAL,DEN,CIN,DAL,SEA,HOU,CAR,TEN
97,DET,LAC,CHI,ATL,NYG,BAL,NE,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,SF
98,CHI,SF,DAL,BAL,NYG,ATL,GB,NE,LAC,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
99,DET,SF,CHI,ATL,NYG,BAL,NE,GB,LAC,PIT,HOU,CIN,BUF,DEN,MIA,CAR,TEN
100,CHI,LAC,DAL,ATL,NYG,BAL,NE,GB,HOU,PIT,DEN,CIN,BUF,SF,MIA,CAR,TEN
101,BAL,SF,DAL,ATL,NYG,MIA,GB,CHI,LAC,NE,DEN,CIN,BUF,SEA,HOU,CAR,TEN
102,CHI,LAC,DAL,HOU,NYG,ATL,GB,NE,BAL,PIT,DEN,CIN,BUF,SF,MIA,CAR,TEN
103,DET,SF,CHI,ATL,NYG,BAL,GB,NE,LAC,PIT,DAL,DEN,BUF,SEA,HOU,CAR,TEN
104,DET,SF,DAL,BAL,NYG,MIA,GB,PIT,ATL,NE,DEN,CHI,BUF,SEA,HOU,CAR,TEN
105,DET,GB,DAL,BAL,SF,ATL,CHI,NE,LAC,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
106,BAL,GB,DAL,HOU,SF,ATL,CHI,NE,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,NYG
107,BAL,NYG,CHI,HOU,SF,ATL,GB,PIT,LAC,NE,DEN,CIN,DAL,SEA,MIA,CAR,TEN
108,DET,NYG,DAL,HOU,NE,ATL,GB,PIT,LAC,BAL,DEN,CIN,BUF,SEA,MIA,CAR,TEN
109,BAL,SF,CHI,HOU,NE,ATL,NYG,GB,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
110,CHI,LAC,DAL,ATL,SF,BAL,NE,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,NYG
111,DET,NYG,DAL,HOU,SF,ATL,CHI,GB,LAC,NE,DEN,CIN,BUF,SEA,MIA,CAR,PIT
112,BAL,NYG,DAL,HOU,SF,ATL,CHI,NE,GB,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
113,DET,LAC,CHI,ATL,NYG,MIA,NE,PIT,GB,BAL,DEN,CIN,BUF,SEA,HOU,CAR,TEN
114,DET,SF,DAL,ATL,NYG,BAL,NE,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
115,CHI,SF,DAL,HOU,NYG,ATL,GB,PIT,BAL,NE,DEN,CIN,BUF,SEA,MIA,CAR,LAC
116,BAL,NYG,DAL,HOU,SF,ATL,GB,PIT,LAC,NE,DEN,CHI,BUF,SEA,MIA,CAR,TEN
117,DET,SF,CHI,ATL,NYG,BAL,GB,NE,HOU,PIT,DAL,CIN,DEN,SEA,MIA,CAR,TEN
118,DET,LAC,CHI,HOU,SF,BAL,GB,PIT,ATL,NE,DAL,CIN,BUF,DEN,MIA,CAR,NYG
119,DET,GB,DAL,HOU,NYG,BAL,NE,CHI,ATL,PIT,DEN,CIN,BUF,SF,MIA,CAR,SEA
120,CHI,SF,DAL,BAL,NYG,ATL,GB,NE,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,LAC
121,DET,GB,CHI,ATL,SF,BAL,NYG,NE,LAC,PIT,DAL,DEN,HOU,SEA,MIA,CAR,TEN
122,CHI,NYG,DAL,ATL,SF,MIA,GB,NE,BAL,PIT,DEN,CIN,BUF,SEA,HOU,CAR,LAC
123,CHI,LAC,DAL,HOU,NYG,ATL,GB,NE,BAL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
124,BAL,SF,DAL,ATL,NE,MIA,NYG,CHI,LAC,PIT,DEN,CIN,BUF,GB,HOU,CAR,SEA
125,DET,NYG,DAL,BAL,SF,ATL,CHI,NE,LAC,PIT,DEN,CIN,BUF,GB,MIA,CAR,TEN
126,CHI,LAC,DAL,ATL,SF,MIA,GB,PIT,BAL,NE,DEN,CIN,BUF,SEA,HOU,CAR,TEN
127,CHI,NYG,DAL,HOU,SF,ATL,NE,PIT,LAC,BAL,DEN,CIN,GB,SEA,MIA,CAR,TEN
129,DET,SF,DAL,HOU,NYG,BAL,CHI,PIT,ATL,NE,DEN,CIN,BUF,GB,MIA,CAR,LAC
130,CHI,GB,DAL,ATL,SF,BAL,NYG,PIT,HOU,NE,DEN,CIN,BUF,SEA,MIA,CAR,LAC
131,DET,SF,CHI,HOU,NYG,BAL,GB,PIT,LAC,NE,ATL,DEN,DAL,SEA,MIA,CAR,TEN
132,CHI,SF,DAL,HOU,NE,ATL,GB,PIT,LAC,BAL,DEN,CIN,BUF,SEA,MIA,CAR,NYG
133,CHI,SF,DAL,BAL,NYG,ATL,GB,NE,LAC,PIT,HOU,DEN,BUF,SEA,MIA,CAR,TEN
134,CHI,LAC,DAL,ATL,NYG,MIA,NE,GB,BAL,PIT,DEN,CIN,BUF,SEA,HOU,CAR,TEN
135,DET,LAC,DAL,HOU,SF,ATL,GB,CHI,BAL,PIT,DEN,NE,BUF,SEA,MIA,CAR,NYG
136,DET,GB,DAL,HOU,SF,ATL,CHI,PIT,BAL,NE,DEN,CIN,BUF,SEA,MIA,CAR,NYG
137,DET,GB,CHI,HOU,SF,BAL,NYG,PIT,ATL,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
138,DET,NYG,DAL,BAL,SF,ATL,CHI,GB,LAC,NE,HOU,CIN,DEN,SEA,MIA,CAR,TEN
139,BAL,NYG,DAL,HOU,SF,ATL,GB,NE,LAC,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
140,DET,NYG,DAL,HOU,SF,ATL,GB,PIT,LAC,BAL,NE,CIN,DEN,SEA,MIA,CAR,TEN
141,CHI,LAC,DAL,BAL,SF,ATL,NE,GB,HOU,PIT,DEN,CIN,BUF,SEA,MIA,CAR,TEN
142,CHI,LAC,DAL,HOU,SF,ATL,GB,NE,BAL,PIT,DEN,CIN,BUF,SEA,MIA,CAR,NYG
143,BAL,NYG,DAL,HOU,SF,ATL,CHI,NE,LAC,PIT,DEN,CIN,BUF,GB,MIA,CAR,SEA
145,BAL,GB,DAL,HOU,SF,ATL,CHI,PIT,LAC,NE,DEN,CIN,BUF,SEA,MIA,CAR,NYG
146,CHI,GB,DAL,HOU,SF,BAL,NYG,PIT,ATL,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
147,CHI,LAC,DAL,HOU,NYG,BAL,GB,PIT,ATL,NE,DEN,CIN,BUF,SEA,MIA,CAR,SF
148,CHI,SF,DAL,HOU,NYG,ATL,GB,PIT,BAL,NE,DEN,CIN,BUF,SEA,MIA,CAR,TEN
150,DET,SF,DAL,BAL,NYG,ATL,GB,PIT,LAC,NE,DEN,CHI,HOU,SEA,MIA,CAR,TEN
