,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,BUF,PHI,SEA,TB,DEN,IND,WSH,NE,KC,CAR,LAC,CIN,BAL,ATL,JAX,MIA,PIT
1,BUF,IND,PHI,TB,DEN,SEA,WSH,NE,KC,CHI,LAC,CIN,BAL,MIN,JAX,MIA,PIT
2,BUF,IND,PHI,TB,DEN,SEA,WSH,NE,KC,CAR,LAC,CIN,BAL,ATL,JAX,MIA,PIT
3,NE,PHI,IND,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,BAL,MIN,JAX,MIA,PIT
4,BUF,IND,PHI,TB,DEN,SEA,WSH,CAR,KC,CHI,NE,CIN,BAL,ATL,JAX,MIA,PIT
5,BUF,IND,PHI,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,NE,ATL,JAX,MIA,PIT
6,NE,PHI,IND,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,BAL,ATL,JAX,MIA,PIT
7,BUF,IND,PHI,TB,DEN,SEA,WSH,CAR,KC,CHI,NE,CIN,BAL,MIN,JAX,MIA,PIT
8,BUF,PHI,IND,TB,DEN,SEA,WSH,NE,KC,CHI,LAC,CIN,BAL,MIN,JAX,MIA,PIT
9,BUF,IND,PHI,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,BAL,ATL,JAX,NE,PIT
10,BUF,PHI,IND,TB,DEN,SEA,WSH,CAR,KC,CHI,NE,CIN,BAL,ATL,JAX,MIA,PIT
11,BUF,IND,PHI,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,BAL,MIN,JAX,MIA,PIT
12,BUF,PHI,IND,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,BAL,MIN,JAX,MIA,PIT
14,BUF,IND,PHI,TB,DEN,SEA,WSH,NE,KC,CAR,LAC,CIN,BAL,MIN,JAX,MIA,PIT
17,BUF,PHI,IND,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,NE,ATL,JAX,MIA,PIT
24,BUF,PHI,SEA,TB,DEN,IND,WSH,CAR,KC,CHI,LAC,CIN,BAL,ATL,JAX,MIA,PIT
25,NE,IND,PHI,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,BAL,MIN,JAX,MIA,PIT
26,NE,PHI,SEA,TB,DEN,IND,WSH,CAR,KC,CHI,LAC,CIN,BAL,MIN,JAX,MIA,PIT
27,NE,IND,PHI,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,BAL,ATL,JAX,MIA,PIT
30,BUF,PHI,SEA,TB,DEN,IND,WSH,NE,KC,CAR,LAC,CIN,BAL,MIN,JAX,MIA,PIT
31,BUF,PHI,SEA,TB,DEN,IND,WSH,CAR,KC,CHI,LAC,CIN,NE,MIN,JAX,MIA,PIT
33,BUF,PHI,IND,TB,DEN,SEA,WSH,NE,KC,CAR,LAC,CIN,BAL,MIN,JAX,MIA,PIT
37,BUF,PHI,IND,TB,DEN,SEA,WSH,CAR,KC,CHI,NE,CIN,LAC,ATL,JAX,MIA,PIT
42,BUF,PHI,IND,TB,DEN,SEA,WSH,CAR,KC,CHI,LAC,CIN,NE,MIN,JAX,MIA,PIT
44,BUF,PHI,SEA,TB,DEN,IND,WSH,NE,KC,CHI,LAC,CIN,BAL,ATL,JAX,MIA,PIT
46,BUF,IND,PHI,TB,DEN,SEA,WSH,CAR,KC,CHI,NE,CIN,LAC,MIN,JAX,MIA,PIT
49,NE,PHI,SEA,TB,DEN,IND,WSH,CAR,KC,CHI,LAC,CIN,BAL,ATL,JAX,MIA,PIT
50,BUF,PHI,IND,TB,DEN,SEA,WSH,NE,KC,CHI,LAC,CIN,BAL,ATL,JAX,MIA,PIT
54,BUF,IND,PHI,TB,DEN,SEA,WSH,NE,KC,CHI,LAC,CIN,BAL,ATL,JAX,MIA,PIT
55,BUF,PHI,SEA,TB,DEN,IND,WSH,CAR,KC,CHI,LAC,CIN,BAL,MIN,JAX,NE,PIT
