,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,PHI,NYG,SEA,TEN,DAL,IND,HOU,NYJ,CHI,LAC,CAR,PIT,BAL,ARI,NE,NO,ATL
1,PHI,NYG,BUF,LAC,CAR,MIN,HOU,WSH,CHI,NE,IND,PIT,DAL,ARI,NYJ,NO,ATL
2,NE,NYG,BUF,TEN,DAL,IND,HOU,WSH,CHI,LAC,MIA,PIT,BAL,ARI,NYJ,NO,ATL
3,NE,ARI,SEA,LAC,CAR,IND,NYG,WSH,CHI,NYJ,MIA,DAL,BAL,DEN,PHI,NO,CIN
4,PHI,ARI,SEA,TEN,NYG,IND,NE,BAL,CHI,LAC,MIA,PIT,DAL,DEN,NYJ,NO,ATL
5,NE,NYG,SEA,LAC,CAR,MIN,TEN,WSH,CHI,NYJ,MIA,DAL,BAL,ARI,PHI,NO,CIN
6,PHI,NYG,BUF,LAC,CAR,MIN,TEN,HOU,CHI,NE,IND,DAL,BAL,ARI,NYJ,NO,GB
7,NE,NYG,BUF,LAC,CAR,MIN,TEN,HOU,CHI,NYJ,IND,DAL,BAL,ARI,PHI,NO,GB
8,NE,NYG,SEA,LAC,CAR,IND,HOU,NYJ,CHI,ARI,MIA,PIT,TEN,DEN,PHI,NO,CIN
9,PHI,NYG,SEA,LAC,DAL,IND,TEN,WSH,CHI,NE,CAR,TB,BAL,ARI,NYJ,NO,GB
10,NE,NYG,LAC,TEN,CAR,MIN,HOU,WSH,CHI,NYJ,MIA,DAL,BAL,DEN,IND,NO,ATL
11,PHI,ARI,LAC,TEN,CAR,MIN,NE,WSH,CHI,NYJ,NYG,DAL,BAL,DEN,IND,NO,GB
12,NE,ARI,SEA,TEN,CAR,MIN,NYG,BAL,CHI,NYJ,IND,PIT,DAL,LAC,PHI,NO,ATL
13,PHI,ARI,NYG,LAC,DAL,IND,HOU,WSH,CHI,NYJ,MIA,TB,BAL,TEN,NE,NO,ATL
14,NE,ARI,NYG,TEN,CAR,MIN,HOU,NYJ,CHI,LAC,MIA,DAL,BAL,DEN,PHI,NO,GB
15,PHI,NYG,SEA,TEN,NE,MIN,HOU,NYJ,CHI,ARI,IND,TB,DAL,BAL,CAR,NO,GB
16,PHI,NYG,SEA,LAC,CAR,MIN,NE,BAL,CHI,ARI,IND,TB,DAL,DEN,NYJ,NO,GB
17,PHI,NYG,LAC,TEN,CAR,MIN,HOU,BAL,CHI,NYJ,MIA,TB,DAL,DEN,NE,NO,GB
18,PHI,NYG,BUF,LAC,CAR,MIN,NE,NYJ,CHI,ARI,MIA,DAL,TEN,DEN,IND,NO,PIT
19,PHI,NYG,LAC,TEN,DAL,MIN,NE,HOU,CHI,ARI,IND,PIT,BAL,DEN,NYJ,NO,CIN
20,PHI,NE,NYG,TEN,DAL,MIN,HOU,NYJ,CHI,LAC,MIA,PIT,BAL,ARI,IND,NO,ATL
21,PHI,ARI,LAC,TEN,NE,MIN,NYG,HOU,CHI,NYJ,IND,PIT,BAL,DEN,CAR,NO,ATL
22,PHI,ARI,BUF,LAC,NE,MIN,NYG,BAL,CHI,NYJ,IND,DAL,TEN,DEN,CAR,NO,ATL
23,NE,ARI,SEA,LAC,DAL,MIN,NYG,HOU,CHI,NYJ,CAR,TB,BAL,IND,PHI,NO,CIN
24,NE,ARI,BUF,TEN,DAL,MIN,NYG,PHI,CHI,NYJ,CAR,TB,BAL,DEN,IND,NO,ATL
25,PHI,ARI,LAC,TEN,DAL,MIN,HOU,NYJ,CHI,NE,IND,TB,BAL,DEN,CAR,NO,PIT
26,PHI,NYG,BUF,LAC,CAR,MIN,HOU,BAL,CHI,ARI,IND,DAL,TEN,DEN,NE,NO,GB
27,NE,NYG,LAC,TEN,CAR,IND,HOU,WSH,CHI,ARI,MIA,PIT,DAL,MIN,NYJ,NO,GB
28,PHI,NE,SEA,TEN,CAR,IND,HOU,WSH,CHI,NYJ,MIA,PIT,BAL,ARI,LAC,NO,CIN
29,NE,NYG,BUF,LAC,DAL,MIN,TEN,NYJ,CHI,ARI,MIA,TB,BAL,IND,CAR,NO,CIN
30,PHI,ARI,NYG,TEN,DAL,MIN,NE,HOU,CHI,LAC,CAR,PIT,BAL,IND,NYJ,NO,GB
31,NE,ARI,SEA,TEN,CAR,MIN,HOU,PHI,CHI,LAC,NYG,DAL,BAL,DEN,NYJ,NO,CIN
32,NE,ARI,NYG,TEN,DAL,MIN,HOU,NYJ,CHI,LAC,MIA,PIT,BAL,IND,PHI,NO,GB
33,NE,ARI,BUF,LAC,CAR,MIN,TEN,BAL,CHI,NYJ,IND,PIT,DAL,DEN,PHI,NO,GB
34,NE,NYG,BUF,TEN,CAR,IND,HOU,NYJ,CHI,ARI,MIA,DAL,BAL,MIN,LAC,NO,GB
35,PHI,NE,NYG,LAC,DAL,IND,TEN,WSH,CHI,NYJ,MIA,PIT,BAL,DEN,CAR,NO,ATL
36,PHI,ARI,NYG,TEN,CAR,IND,NE,WSH,CHI,LAC,MIA,PIT,DAL,BAL,NYJ,NO,CIN
37,PHI,NYG,SEA,TEN,DAL,IND,HOU,NYJ,CHI,LAC,CAR,PIT,BAL,ARI,NE,NO,GB
38,NE,ARI,NYG,TEN,CAR,IND,HOU,PHI,CHI,LAC,MIA,TB,DAL,MIN,NYJ,NO,GB
39,PHI,NE,NYG,TEN,CAR,IND,HOU,WSH,CHI,ARI,MIA,TB,DAL,MIN,LAC,NO,PIT
40,PHI,NYG,SEA,TEN,NE,MIN,HOU,WSH,CHI,LAC,MIA,DAL,BAL,ARI,IND,NO,ATL
41,PHI,NE,NYG,LAC,DAL,IND,HOU,WSH,CHI,ARI,MIA,PIT,BAL,TEN,NYJ,NO,GB
42,NE,ARI,BUF,TEN,CAR,IND,NYG,WSH,CHI,LAC,MIA,TB,BAL,MIN,PHI,NO,GB
43,PHI,NE,SEA,TEN,CAR,MIN,HOU,WSH,CHI,LAC,MIA,TB,DAL,IND,NYJ,NO,ATL
44,NE,NYG,LAC,TEN,DAL,MIN,HOU,WSH,CHI,ARI,MIA,PIT,BAL,IND,NYJ,NO,GB
45,NE,NYG,LAC,TEN,CAR,IND,HOU,BAL,CHI,NYJ,MIA,PIT,DAL,MIN,PHI,NO,ATL
46,PHI,NE,NYG,TEN,CAR,IND,HOU,BAL,CHI,ARI,MIA,TB,DAL,LAC,NYJ,NO,CIN
47,PHI,NYG,BUF,LAC,DAL,MIN,NE,WSH,CHI,ARI,MIA,TB,TEN,IND,NYJ,NO,ATL
48,NE,NYG,BUF,TEN,CAR,IND,HOU,BAL,CHI,NYJ,MIA,TB,DAL,ARI,PHI,NO,GB
49,NE,ARI,SEA,LAC,CAR,MIN,TEN,WSH,CHI,NYJ,IND,TB,DAL,BAL,PHI,NO,PIT
50,PHI,ARI,SEA,LAC,CAR,IND,TEN,HOU,CHI,NE,MIA,DAL,BAL,MIN,NYJ,NO,GB
51,NE,ARI,SEA,TEN,DAL,IND,HOU,PHI,CHI,NYJ,CAR,TB,BAL,MIN,LAC,NO,CIN
52,PHI,NYG,SEA,LAC,DAL,IND,TEN,WSH,CHI,NE,MIA,TB,BAL,MIN,NYJ,NO,PIT
53,NE,NYG,SEA,LAC,CAR,MIN,HOU,BAL,CHI,NYJ,MIA,PIT,DAL,ARI,IND,NO,CIN
54,PHI,ARI,LAC,TEN,NYG,MIN,HOU,NE,CHI,NYJ,IND,TB,DAL,DEN,CAR,NO,ATL
55,PHI,ARI,SEA,LAC,NYG,MIN,NE,WSH,CHI,NYJ,IND,TB,BAL,TEN,CAR,NO,GB
56,NE,NYG,SEA,LAC,CAR,IND,HOU,WSH,CHI,NYJ,MIA,PIT,DAL,BAL,PHI,NO,GB
57,PHI,ARI,NYG,TEN,NE,IND,HOU,WSH,CHI,NYJ,MIA,TB,BAL,LAC,CAR,NO,PIT
58,NE,NYG,BUF,TEN,DAL,MIN,HOU,WSH,CHI,LAC,MIA,TB,BAL,ARI,NYJ,NO,ATL
59,NE,NYG,SEA,LAC,CAR,MIN,TEN,HOU,CHI,NYJ,IND,DAL,BAL,ARI,PHI,NO,CIN
60,NE,ARI,BUF,LAC,DAL,MIN,NYG,PHI,CHI,NYJ,IND,PIT,TEN,BAL,CAR,NO,GB
61,PHI,NE,SEA,TEN,NYG,IND,HOU,WSH,CHI,LAC,MIA,TB,DAL,DEN,CAR,NO,CIN
62,PHI,ARI,SEA,TEN,DAL,IND,NE,WSH,CHI,NYJ,NYG,TB,BAL,DEN,LAC,NO,ATL
63,NE,NYG,LAC,TEN,CAR,MIN,HOU,NYJ,CHI,ARI,IND,PIT,BAL,DEN,PHI,NO,GB
64,NE,NYG,LAC,TEN,CAR,IND,HOU,PHI,CHI,ARI,MIA,DAL,BAL,DEN,NYJ,NO,PIT
65,PHI,ARI,BUF,TEN,DAL,MIN,NYG,WSH,CHI,LAC,MIA,PIT,BAL,DEN,CAR,NE,ATL
66,PHI,NE,NYG,LAC,DAL,MIN,TEN,WSH,CHI,ARI,MIA,PIT,BAL,DEN,IND,NO,CIN
67,PHI,ARI,LAC,TEN,NE,IND,NYG,WSH,CHI,NYJ,MIA,TB,BAL,MIN,CAR,NO,PIT
68,PHI,NE,SEA,TEN,CAR,IND,HOU,BAL,CHI,LAC,MIA,PIT,DAL,ARI,NYJ,NO,CIN
69,NE,NYG,BUF,TEN,CAR,IND,HOU,PHI,CHI,LAC,MIA,PIT,DAL,BAL,NYJ,NO,GB
70,NE,NYG,BUF,TEN,CAR,IND,HOU,WSH,CHI,NYJ,MIA,PIT,DAL,LAC,PHI,NO,BAL
71,PHI,ARI,NYG,TEN,NE,MIN,HOU,WSH,CHI,NYJ,CAR,PIT,DAL,IND,LAC,NO,CIN
72,PHI,ARI,SEA,TEN,DAL,MIN,NYG,NYJ,CHI,NE,CAR,PIT,BAL,LAC,IND,NO,CIN
73,PHI,NE,NYG,LAC,CAR,MIN,HOU,BAL,CHI,ARI,IND,DAL,TEN,DEN,NYJ,NO,PIT
74,NE,NYG,BUF,LAC,CAR,IND,TEN,HOU,CHI,NYJ,MIA,PIT,DAL,ARI,PHI,NO,GB
75,NE,ARI,SEA,LAC,CAR,MIN,TEN,WSH,CHI,NYJ,IND,TB,BAL,DEN,PHI,NO,GB
76,PHI,NE,NYG,TEN,CAR,IND,HOU,NYJ,CHI,ARI,MIA,PIT,BAL,MIN,LAC,NO,GB
77,PHI,NE,NYG,TEN,CAR,MIN,HOU,NYJ,CHI,LAC,MIA,PIT,DAL,BAL,IND,NO,CIN
78,PHI,ARI,BUF,TEN,DAL,MIN,HOU,NYJ,CHI,LAC,NYG,PIT,BAL,IND,CAR,NE,ATL
79,PHI,ARI,BUF,LAC,DAL,MIN,NYG,WSH,CHI,NYJ,CAR,TB,BAL,TEN,IND,NO,GB
80,NE,NYG,SEA,LAC,CAR,IND,TEN,NYJ,CHI,ARI,MIA,TB,BAL,MIN,PHI,NO,PIT
81,NE,ARI,LAC,TEN,NYG,IND,HOU,BAL,CHI,NYJ,MIA,PIT,DAL,DEN,PHI,NO,ATL
82,NE,ARI,SEA,TEN,CAR,MIN,NYG,BAL,CHI,LAC,MIA,TB,DAL,DEN,NYJ,NO,ATL
83,NE,ARI,BUF,LAC,NYG,IND,HOU,BAL,CHI,NYJ,MIA,DAL,TEN,MIN,PHI,NO,PIT
84,NE,ARI,NYG,TEN,CAR,MIN,HOU,WSH,CHI,NYJ,MIA,DAL,BAL,LAC,PHI,NO,CIN
85,NE,NYG,BUF,TEN,CAR,IND,HOU,PHI,CHI,ARI,MIA,TB,BAL,DEN,NYJ,NO,CIN
86,PHI,NYG,LAC,TEN,DAL,MIN,HOU,NYJ,CHI,ARI,MIA,PIT,BAL,DEN,IND,NO,ATL
87,PHI,NYG,LAC,TEN,DAL,IND,NE,NYJ,CHI,ARI,MIA,PIT,BAL,MIN,CAR,NO,GB
88,NE,ARI,LAC,TEN,DAL,IND,HOU,WSH,CHI,NYJ,NYG,TB,BAL,DEN,CAR,NO,PIT
89,PHI,NYG,SEA,TEN,NE,MIN,HOU,NYJ,CHI,ARI,CAR,DAL,BAL,IND,LAC,NO,CIN
90,NE,NYG,SEA,LAC,DAL,MIN,HOU,BAL,CHI,NYJ,CAR,TB,TEN,IND,PHI,NO,CIN
91,PHI,ARI,SEA,TEN,NYG,MIN,HOU,BAL,CHI,LAC,IND,TB,DAL,DEN,CAR,NO,PIT
92,PHI,NE,NYG,TEN,DAL,IND,HOU,WSH,CHI,ARI,CAR,PIT,BAL,LAC,NYJ,NO,ATL
93,NE,ARI,SEA,TEN,DAL,MIN,HOU,WSH,CHI,LAC,MIA,PIT,BAL,DEN,CAR,NO,ATL
94,NE,ARI,LAC,TEN,NYG,IND,HOU,WSH,CHI,NYJ,MIA,PIT,DAL,MIN,PHI,NO,BAL
95,NE,ARI,NYG,LAC,DAL,MIN,HOU,BAL,CHI,NYJ,MIA,TB,TEN,DEN,PHI,NO,PIT
96,PHI,ARI,SEA,TEN,NYG,MIN,HOU,BAL,CHI,LAC,MIA,PIT,DAL,DEN,CAR,NO,CIN
97,NE,NYG,LAC,TEN,CAR,IND,HOU,WSH,CHI,ARI,MIA,DAL,BAL,DEN,PHI,NO,ATL
98,PHI,NE,NYG,LAC,CAR,MIN,TEN,WSH,CHI,ARI,IND,TB,BAL,DEN,NYJ,NO,CIN
99,NE,NYG,BUF,TEN,DAL,IND,HOU,WSH,CHI,NYJ,CAR,PIT,BAL,LAC,PHI,NO,ATL
100,NE,ARI,LAC,TEN,CAR,MIN,NYG,HOU,CHI,NYJ,IND,DAL,BAL,DEN,PHI,NO,CIN
101,NE,ARI,LAC,TEN,NYG,IND,HOU,PHI,CHI,NYJ,MIA,PIT,BAL,MIN,CAR,NO,ATL
102,NE,NYG,BUF,TEN,DAL,MIN,HOU,PHI,CHI,NYJ,IND,TB,BAL,LAC,CAR,NO,GB
103,NE,ARI,NYG,TEN,CAR,IND,HOU,WSH,CHI,LAC,MIA,TB,DAL,BAL,PHI,NO,PIT
104,PHI,NE,LAC,TEN,NYG,IND,HOU,NYJ,CHI,ARI,MIA,TB,BAL,DEN,CAR,NO,CIN
105,NE,NYG,LAC,TEN,DAL,MIN,HOU,NYJ,CHI,ARI,MIA,TB,BAL,DEN,IND,NO,GB
106,PHI,ARI,SEA,TEN,CAR,IND,NYG,HOU,CHI,LAC,MIA,PIT,BAL,MIN,NYJ,NO,ATL
107,PHI,ARI,BUF,TEN,CAR,IND,NYG,HOU,CHI,LAC,MIA,TB,BAL,MIN,NYJ,NO,PIT
108,NE,ARI,SEA,LAC,CAR,IND,TEN,BAL,CHI,NYJ,NYG,TB,DAL,MIN,PHI,NO,CIN
109,PHI,ARI,BUF,LAC,NYG,IND,HOU,WSH,CHI,NE,CAR,TB,BAL,TEN,NYJ,NO,GB
110,PHI,NE,BUF,LAC,NYG,IND,HOU,BAL,CHI,ARI,CAR,TB,DAL,MIN,NYJ,NO,GB
111,NE,NYG,LAC,TEN,CAR,IND,HOU,NYJ,CHI,ARI,MIA,TB,DAL,DEN,PHI,NO,CIN
112,NE,NYG,BUF,LAC,CAR,IND,HOU,WSH,CHI,NYJ,MIA,TB,BAL,MIN,PHI,NO,ATL
113,NE,ARI,BUF,TEN,CAR,MIN,NYG,WSH,CHI,LAC,IND,DAL,BAL,DEN,NYJ,NO,GB
114,NE,NYG,SEA,TEN,DAL,IND,HOU,PHI,CHI,NYJ,MIA,TB,BAL,LAC,CAR,NO,GB
115,PHI,NYG,BUF,LAC,DAL,IND,NE,NYJ,CHI,ARI,MIA,PIT,TEN,MIN,CAR,NO,CIN
116,PHI,NYG,LAC,TEN,CAR,MIN,HOU,WSH,CHI,NE,MIA,PIT,BAL,DEN,IND,NO,GB
117,PHI,ARI,LAC,TEN,NYG,IND,HOU,WSH,CHI,NYJ,MIA,TB,BAL,MIN,CAR,NE,CIN
