,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
32,2013-09-19,2013,0,0,PHI,KC,1417.267,1401.99,0.613514977,16,26,0.0
33,2013-09-22,2013,0,0,TEN,LAC,1477.122,1492.0320000000002,0.5715899870000001,20,17,1.0
34,2013-09-22,2013,0,0,SEA,JAX,1645.546,1295.889,0.9158273309999999,45,17,1.0
35,2013-09-22,2013,0,0,SF,IND,1610.144,1498.194,0.734700992,7,27,0.0
36,2013-09-22,2013,0,0,WSH,DET,1474.765,1444.652,0.63355873,20,27,0.0
37,2013-09-22,2013,0,0,DAL,LAR,1498.29,1462.4460000000001,0.641183536,31,7,1.0
38,2013-09-22,2013,0,0,BAL,HOU,1608.3029999999999,1587.994,0.6203603670000001,30,9,1.0
39,2013-09-22,2013,0,0,CAR,NYG,1495.151,1521.46,0.555451787,38,0,1.0
40,2013-09-22,2013,0,0,CIN,GB,1557.4679999999998,1605.007,0.525107264,34,30,1.0
41,2013-09-22,2013,0,0,MIA,ATL,1528.5439999999999,1581.879,0.516780979,27,23,1.0
42,2013-09-22,2013,0,0,MIN,CLE,1502.5179999999998,1388.754,0.736731348,27,31,0.0
43,2013-09-22,2013,0,0,NO,ARI,1562.586,1426.3120000000001,0.7610830129999999,31,7,1.0
44,2013-09-22,2013,0,0,NE,TB,1646.118,1453.243,0.8152434590000001,23,3,1.0
45,2013-09-22,2013,0,0,NYJ,BUF,1433.757,1444.8129999999999,0.5770137989999999,27,20,1.0
46,2013-09-22,2013,0,0,PIT,CHI,1475.9720000000002,1548.67,0.48892349999999996,23,40,0.0
47,2013-09-23,2013,0,0,DEN,OAK,1662.932,1406.8329999999999,0.86393848,37,21,1.0
