,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
77,2013-10-10,2013,0,0,CHI,NYG,1528.5610000000001,1416.859,0.734422637,27,21,1.0
78,2013-10-13,2013,0,0,DEN,JAX,1685.898,1263.065,0.943116928,35,19,1.0
79,2013-10-13,2013,0,0,MIN,CAR,1495.5279999999998,1495.8139999999999,0.5920686589999999,10,35,0.0
80,2013-10-13,2013,0,0,DAL,WSH,1490.191,1472.644,0.6166087570000001,31,16,1.0
81,2013-10-13,2013,0,0,CLE,DET,1468.2520000000002,1482.954,0.571883162,17,31,0.0
82,2013-10-13,2013,0,0,HOU,LAR,1528.624,1425.6860000000001,0.7244670059999999,13,38,0.0
83,2013-10-13,2013,0,0,TB,PHI,1424.774,1420.816,0.597955644,20,31,0.0
84,2013-10-13,2013,0,0,SF,ARI,1611.6789999999999,1461.967,0.7748637840000001,32,20,1.0
85,2013-10-13,2013,0,0,SEA,TEN,1641.505,1479.085,0.787368333,20,13,1.0
86,2013-10-13,2013,0,0,BAL,GB,1623.3229999999999,1603.996,0.619028144,17,19,0.0
87,2013-10-13,2013,0,0,NYJ,PIT,1446.54,1428.985,0.616619644,6,19,0.0
88,2013-10-13,2013,0,0,NE,NO,1649.511,1621.523,0.6307142,30,27,1.0
89,2013-10-13,2013,0,0,KC,OAK,1495.6789999999999,1403.707,0.711689453,24,7,1.0
90,2013-10-13,2013,0,0,BUF,CIN,1427.078,1565.6729999999998,0.395644415,24,27,0.0
91,2013-10-14,2013,0,0,LAC,IND,1472.527,1584.973,0.43214102299999996,19,9,1.0
