,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
92,2013-10-17,2013,0,0,ARI,SEA,1451.444,1649.52,0.317334832,22,34,0.0
93,2013-10-20,2013,0,0,TEN,SF,1471.07,1622.201,0.378525864,17,31,0.0
94,2013-10-20,2013,0,0,CAR,LAR,1535.5639999999999,1476.795,0.6709470710000001,30,15,1.0
95,2013-10-20,2013,0,0,ATL,TB,1529.519,1394.095,0.7601921559999999,31,23,1.0
96,2013-10-20,2013,0,0,IND,DEN,1557.14,1688.536,0.405594923,39,33,1.0
97,2013-10-20,2013,0,0,DET,CIN,1514.652,1576.2879999999998,0.504841034,24,27,0.0
98,2013-10-20,2013,0,0,GB,CLE,1618.14,1436.5539999999999,0.805254237,31,13,1.0
99,2013-10-20,2013,0,0,KC,HOU,1511.235,1477.515,0.638365738,17,16,1.0
100,2013-10-20,2013,0,0,MIA,BUF,1509.714,1416.463,0.713197792,21,23,0.0
101,2013-10-20,2013,0,0,NYJ,NE,1412.725,1659.3339999999998,0.260104509,30,27,1.0
102,2013-10-20,2013,0,0,PHI,DAL,1451.495,1510.682,0.508364799,3,17,0.0
103,2013-10-20,2013,0,0,PIT,BAL,1462.8,1609.18,0.38498058399999996,19,16,1.0
104,2013-10-20,2013,0,0,WSH,CHI,1452.1529999999998,1538.129,0.469849733,45,41,1.0
105,2013-10-20,2013,0,0,JAX,LAC,1260.427,1500.361,0.26756716,6,24,0.0
106,2013-10-21,2013,0,0,NYG,MIN,1407.2910000000002,1455.7779999999998,0.52374624,23,7,1.0
