,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
63,2013-10-03,2013,0,0,CLE,BUF,1447.3010000000002,1448.029,0.591453994,37,24,1.0
64,2013-10-06,2013,0,0,DAL,DEN,1499.249,1676.84,0.34341198700000003,48,51,0.0
65,2013-10-06,2013,0,0,IND,SEA,1563.211,1663.2679999999998,0.449719445,34,28,1.0
66,2013-10-06,2013,0,0,LAR,JAX,1413.9979999999998,1274.752,0.764179987,34,20,1.0
67,2013-10-06,2013,0,0,OAK,LAC,1374.6870000000001,1501.547,0.411905236,27,17,1.0
68,2013-10-06,2013,0,0,CHI,NO,1551.9170000000001,1598.1670000000001,0.5269572539999999,18,26,0.0
69,2013-10-06,2013,0,0,SF,HOU,1587.855,1552.4479999999999,0.640604579,34,3,1.0
70,2013-10-06,2013,0,0,TEN,KC,1510.911,1463.852,0.655897163,17,26,0.0
71,2013-10-06,2013,0,0,NYG,PHI,1458.125,1379.5510000000002,0.695609787,21,36,0.0
72,2013-10-06,2013,0,0,MIA,BAL,1522.527,1610.51,0.466972964,23,26,0.0
73,2013-10-06,2013,0,0,CIN,NE,1539.898,1675.286,0.40006701200000006,13,6,1.0
74,2013-10-06,2013,0,0,ARI,CAR,1430.62,1527.161,0.454733138,22,6,1.0
75,2013-10-06,2013,0,0,GB,DET,1589.8410000000001,1497.109,0.712586299,22,9,1.0
76,2013-10-07,2013,0,0,ATL,NYJ,1547.308,1428.751,0.742047736,28,30,0.0
