,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
107,2013-10-24,2013,0,0,TB,CAR,1384.4370000000001,1552.838,0.355437125,13,31,0.0
108,2013-10-27,2013,0,0,NE,MIA,1636.974,1492.828,0.769225151,27,17,1.0
109,2013-10-27,2013,0,0,NO,BUF,1611.6989999999998,1433.348,0.8023173029999999,35,17,1.0
110,2013-10-27,2013,0,0,MIN,GB,1428.993,1628.4520000000002,0.31561268600000003,31,44,0.0
111,2013-10-27,2013,0,0,KC,CLE,1516.033,1426.241,0.709107712,23,17,1.0
112,2013-10-27,2013,0,0,OAK,PIT,1388.15,1480.507,0.460711275,21,18,1.0
113,2013-10-27,2013,0,0,CIN,NYJ,1590.306,1435.085,0.78034774,49,9,1.0
114,2013-10-27,2013,0,0,DET,DAL,1500.634,1538.2879999999998,0.539272993,31,30,1.0
115,2013-10-27,2013,0,0,DEN,WSH,1664.683,1469.382,0.817337662,45,21,1.0
116,2013-10-27,2013,0,0,ARI,ATL,1436.094,1539.1779999999999,0.44541117799999996,27,13,1.0
117,2013-10-27,2013,1,0,SF,JAX,1641.93,1245.8310000000001,0.907217917,42,10,1.0
118,2013-10-27,2013,0,0,PHI,NYG,1423.889,1434.0770000000002,0.578232845,7,15,0.0
119,2013-10-28,2013,0,0,LAR,SEA,1459.52,1664.87,0.308334005,9,14,0.0
